Time_ms,LeftBlinkWeight,RightBlinkWeight,LeftConfidence,RightConfidence
0,0.00000,0.00000,1.00,1.00
11,0.00000,0.00000,1.00,1.00
23,0.00000,0.00000,1.00,1.00
34,0.00000,0.00000,1.00,1.00
45,0.00000,0.00000,1.00,1.00
56,0.00000,0.00000,1.00,1.00
67,0.00000,0.00000,1.00,1.00
78,0.00000,0.00000,1.00,1.00
90,0.00000,0.00000,1.00,1.00
101,0.00000,0.00000,1.00,1.00
111,0.00000,0.00000,1.00,1.00
123,0.00000,0.00000,1.00,1.00
134,0.00000,0.00000,1.00,1.00
145,0.00000,0.00000,1.00,1.00
157,0.00000,0.00000,1.00,1.00
167,0.00000,0.00000,1.00,1.00
179,0.00000,0.00000,1.00,1.00
190,0.00000,0.00000,1.00,1.00
201,0.00000,0.00000,1.00,1.00
212,0.00000,0.00000,1.00,1.00
224,0.00000,0.00000,1.00,1.00
234,0.00000,0.00000,1.00,1.00
245,0.00000,0.00000,1.00,1.00
257,0.00000,0.00000,1.00,1.00
268,0.49561,0.45454,1.00,1.00
279,0.49561,0.45454,1.00,1.00
290,0.49561,0.45454,1.00,1.00
301,0.22858,0.23703,1.00,1.00
312,0.22858,0.23703,1.00,1.00
324,0.22858,0.23703,1.00,1.00
334,0.02860,0.03386,1.00,1.00
346,0.02860,0.03386,1.00,1.00
357,0.02860,0.03386,1.00,1.00
368,0.00417,0.00561,1.00,1.00
379,0.00417,0.00561,1.00,1.00
390,0.00417,0.00561,1.00,1.00
401,0.00071,0.00107,1.00,1.00
412,0.00071,0.00107,1.00,1.00
424,0.00071,0.00107,1.00,1.00
435,0.00014,0.00023,1.00,1.00
446,0.00014,0.00023,1.00,1.00
457,0.00014,0.00023,1.00,1.00
468,0.00003,0.00006,1.00,1.00
479,0.00003,0.00006,1.00,1.00
491,0.00003,0.00006,1.00,1.00
501,0.00001,0.00002,1.00,1.00
512,0.00001,0.00002,1.00,1.00
524,0.00001,0.00002,1.00,1.00
535,0.00000,0.00001,1.00,1.00
546,0.00000,0.00001,1.00,1.00
558,0.00000,0.00001,1.00,1.00
568,0.00000,0.00000,1.00,1.00
580,0.00000,0.00000,1.00,1.00
592,0.00000,0.00000,1.00,1.00
601,0.00000,0.00000,1.00,1.00
612,0.00000,0.00000,1.00,1.00
624,0.00000,0.00000,1.00,1.00
635,0.00000,0.00000,1.00,1.00
646,0.00000,0.00000,1.00,1.00
658,0.00000,0.00000,1.00,1.00
669,0.00000,0.00000,1.00,1.00
679,0.00000,0.00000,1.00,1.00
691,0.00000,0.00000,1.00,1.00
702,0.00000,0.00000,1.00,1.00
713,0.00000,0.00000,1.00,1.00
725,0.00000,0.00000,1.00,1.00
736,0.00000,0.00000,1.00,1.00
746,0.00000,0.00000,1.00,1.00
758,0.00000,0.00000,1.00,1.00
768,0.00000,0.00000,1.00,1.00
780,0.00000,0.00000,1.00,1.00
791,0.00000,0.00000,1.00,1.00
802,0.00000,0.00000,1.00,1.00
813,0.00000,0.00000,1.00,1.00
825,0.00000,0.00000,1.00,1.00
836,0.00000,0.00000,1.00,1.00
846,0.00000,0.00000,1.00,1.00
858,0.00000,0.00000,1.00,1.00
869,0.00000,0.00000,1.00,1.00
880,0.00000,0.00000,1.00,1.00
892,0.00000,0.00000,1.00,1.00
902,0.00000,0.00000,1.00,1.00
914,0.00000,0.00000,1.00,1.00
925,0.00000,0.00000,1.00,1.00
936,0.00000,0.00000,1.00,1.00
947,0.00000,0.00000,1.00,1.00
958,0.00000,0.00000,1.00,1.00
969,0.00000,0.00000,1.00,1.00
980,0.00000,0.00000,1.00,1.00
992,0.00000,0.00000,1.00,1.00
1003,0.00000,0.00000,1.00,1.00
1014,0.00000,0.00000,1.00,1.00
1025,0.00000,0.00000,1.00,1.00
1036,0.00000,0.00000,1.00,1.00
1047,0.00000,0.00000,1.00,1.00
1059,0.00000,0.00000,1.00,1.00
1069,0.00000,0.00000,1.00,1.00
1080,0.00000,0.00000,1.00,1.00
1092,0.00000,0.00000,1.00,1.00
1102,0.00000,0.00000,1.00,1.00
1114,0.00000,0.00000,1.00,1.00
1125,0.00000,0.00000,1.00,1.00
1136,0.00000,0.00000,1.00,1.00
1148,0.00000,0.00000,1.00,1.00
1159,0.00000,0.00000,1.00,1.00
1169,0.00000,0.00000,1.00,1.00
1181,0.00000,0.00000,1.00,1.00
1192,0.00000,0.00000,1.00,1.00
1203,0.00000,0.00000,1.00,1.00
1214,0.00000,0.00000,1.00,1.00
1226,0.00000,0.00000,1.00,1.00
1236,0.00000,0.00000,1.00,1.00
1248,0.00000,0.00000,1.00,1.00
1259,0.00000,0.00000,1.00,1.00
1270,0.00000,0.00000,1.00,1.00
1281,0.00000,0.00000,1.00,1.00
1292,0.00000,0.00000,1.00,1.00
1303,0.00000,0.00000,1.00,1.00
1315,0.00000,0.00000,1.00,1.00
1326,0.00000,0.00000,1.00,1.00
1336,0.00000,0.00000,1.00,1.00
1348,0.00000,0.00000,1.00,1.00
1359,0.00000,0.00000,1.00,1.00
1370,0.00000,0.00000,1.00,1.00
1382,0.00000,0.00000,1.00,1.00
1393,0.00000,0.00000,1.00,1.00
1403,0.00000,0.00000,1.00,1.00
1415,0.00000,0.00000,1.00,1.00
1426,0.00000,0.00000,1.00,1.00
1437,0.00000,0.00000,1.00,1.00
1448,0.00000,0.00000,1.00,1.00
1460,0.00000,0.00000,1.00,1.00
1470,0.00000,0.00000,1.00,1.00
1482,0.00000,0.00000,1.00,1.00
1493,0.00000,0.00000,1.00,1.00
1504,0.00000,0.00000,1.00,1.00
1515,0.00000,0.00000,1.00,1.00
1526,0.00000,0.00000,1.00,1.00
1537,0.00000,0.00000,1.00,1.00
1549,0.00000,0.00000,1.00,1.00
1560,0.00000,0.00000,1.00,1.00
1571,0.00000,0.00000,1.00,1.00
1582,0.00000,0.00000,1.00,1.00
1593,0.00000,0.00000,1.00,1.00
1604,0.00000,0.00000,1.00,1.00
1616,0.00000,0.00000,1.00,1.00
1627,0.00000,0.00000,1.00,1.00
1637,0.00000,0.00000,1.00,1.00
1649,0.00000,0.00000,1.00,1.00
