Time_ms,HeadRotX,HeadRotY,HeadRotZ,HeadRotW,LeftLocalRotX,LeftLocalRotY,LeftLocalRotZ,LeftLocalRotW,LeftWorldRotX,LeftWorldRotY,LeftWorldRotZ,LeftWorldRotW,LeftConfidence,RightLocalRotX,RightLocalRotY,RightLocalRotZ,RightLocalRotW,RightWorldRotX,RightWorldRotY,RightWorldRotZ,RightWorldRotW,RightConfidence
0,0.10957,-0.02119,0.01199,-0.99368,0.07176,0.00593,0.00043,-0.99740,-0.18068,0.01606,-0.01022,0.98336,1.00,0.07150,0.03319,0.00238,-0.99689,-0.18073,-0.01126,-0.00917,0.98343,1.00
13,0.10986,-0.02107,0.01182,-0.99365,0.07141,0.00480,0.00034,-0.99744,-0.18060,0.01705,-0.01010,0.98336,1.00,0.07120,0.03206,0.00229,-0.99694,-0.18070,-0.01026,-0.00904,0.98344,1.00
22,0.11001,-0.02110,0.01171,-0.99364,0.07126,0.00480,0.00034,-0.99745,-0.18060,0.01707,-0.00999,0.98336,1.00,0.07106,0.03206,0.00229,-0.99695,-0.18070,-0.01024,-0.00892,0.98344,1.00
33,0.11013,-0.02110,0.01159,-0.99363,0.07114,0.00477,0.00034,-0.99745,-0.18060,0.01709,-0.00987,0.98336,1.00,0.07094,0.03203,0.00228,-0.99696,-0.18070,-0.01022,-0.00879,0.98345,1.00
46,0.11011,-0.02113,0.01176,-0.99363,0.07131,0.00496,0.00035,-0.99744,-0.18075,0.01695,-0.01003,0.98333,1.00,0.07112,0.03222,0.00230,-0.99694,-0.18087,-0.01037,-0.00896,0.98341,1.00
56,0.10997,-0.02121,0.01198,-0.99364,0.07145,0.00509,0.00036,-0.99743,-0.18075,0.01691,-0.01024,0.98333,1.00,0.07125,0.03235,0.00231,-0.99693,-0.18087,-0.01040,-0.00917,0.98341,1.00
67,0.10994,-0.02124,0.01248,-0.99363,0.07149,0.00525,0.00038,-0.99743,-0.18076,0.01682,-0.01072,0.98332,1.00,0.07126,0.03251,0.00232,-0.99692,-0.18086,-0.01049,-0.00966,0.98340,1.00
79,0.11009,-0.02112,0.01246,-0.99362,0.07150,0.00514,0.00037,-0.99743,-0.18092,0.01682,-0.01072,0.98330,1.00,0.07128,0.03240,0.00232,-0.99693,-0.18103,-0.01050,-0.00965,0.98337,1.00
89,0.11021,-0.02106,0.01245,-0.99361,0.07138,0.00507,0.00036,-0.99744,-0.18092,0.01682,-0.01072,0.98330,1.00,0.07116,0.03233,0.00231,-0.99694,-0.18103,-0.01050,-0.00964,0.98337,1.00
101,0.11050,-0.02090,0.01225,-0.99358,0.07109,0.00486,0.00035,-0.99746,-0.18092,0.01685,-0.01054,0.98330,1.00,0.07089,0.03212,0.00228,-0.99696,-0.18104,-0.01046,-0.00945,0.98338,1.00
113,0.11068,-0.02094,0.01216,-0.99356,0.07216,0.00588,0.00043,-0.99738,-0.18217,0.01588,-0.01039,0.98308,1.00,0.07197,0.03314,0.00239,-0.99685,-0.18229,-0.01144,-0.00932,0.98313,1.00
122,0.11062,-0.02091,0.01213,-0.99357,0.07222,0.00584,0.00042,-0.99737,-0.18217,0.01588,-0.01036,0.98309,1.00,0.07203,0.03311,0.00239,-0.99685,-0.18229,-0.01144,-0.00930,0.98313,1.00
134,0.11048,-0.02097,0.01214,-0.99358,0.07236,0.00590,0.00043,-0.99736,-0.18217,0.01588,-0.01037,0.98309,1.00,0.07217,0.03316,0.00240,-0.99684,-0.18229,-0.01144,-0.00931,0.98313,1.00
146,0.11026,-0.02110,0.01217,-0.99360,0.07289,0.00615,0.00045,-0.99732,-0.18247,0.01576,-0.01037,0.98303,1.00,0.07269,0.03342,0.00244,-0.99679,-0.18259,-0.01156,-0.00933,0.98308,1.00
156,0.10956,-0.02127,0.01216,-0.99368,0.07359,0.00632,0.00047,-0.99727,-0.18247,0.01577,-0.01033,0.98303,1.00,0.07339,0.03360,0.00247,-0.99673,-0.18259,-0.01156,-0.00933,0.98308,1.00
