Time_ms,TargetRotY,HeadRotX,HeadRotY,HeadRotZ,HeadRotW,LeftLocalRotX,LeftLocalRotY,LeftLocalRotZ,LeftLocalRotW,LeftWorldRotX,LeftWorldRotY,LeftWorldRotZ,LeftWorldRotW,LeftConfidence,RightLocalRotX,RightLocalRotY,RightLocalRotZ,RightLocalRotW,RightWorldRotX,RightWorldRotY,RightWorldRotZ,RightWorldRotW,RightConfidence
0,0.00000,-0.02051,0.01296,-0.03823,0.99897,-0.03162,0.00209,0.00007,0.99950,-0.05201,0.01624,-0.03778,0.99780,1.00,-0.03154,-0.02502,-0.00079,0.99919,-0.05296,-0.01086,-0.03807,0.99781,1.00
10,0.41989,-0.02045,0.01295,-0.03826,0.99897,-0.02901,0.00383,0.00011,0.99957,-0.04927,0.01789,-0.03783,0.99791,1.00,-0.02896,-0.02327,-0.00067,0.99931,-0.05026,-0.00921,-0.03805,0.99797,1.00
22,0.86521,-0.02028,0.01294,-0.03819,0.99898,-0.02918,0.00385,0.00011,0.99957,-0.04927,0.01789,-0.03776,0.99791,1.00,-0.02912,-0.02326,-0.00068,0.99930,-0.05026,-0.00921,-0.03799,0.99797,1.00
33,1.33446,-0.02006,0.01287,-0.03820,0.99899,-0.02940,0.00391,0.00011,0.99956,-0.04927,0.01789,-0.03777,0.99791,1.00,-0.02934,-0.02320,-0.00068,0.99930,-0.05026,-0.00921,-0.03801,0.99797,1.00
44,1.75677,-0.01976,0.01284,-0.03821,0.99899,-0.02847,0.00398,0.00011,0.99959,-0.04804,0.01790,-0.03780,0.99797,1.00,-0.02843,-0.02313,-0.00066,0.99933,-0.04904,-0.00920,-0.03802,0.99803,1.00
55,2.20498,-0.01965,0.01272,-0.03832,0.99899,-0.02858,0.00409,0.00012,0.99958,-0.04804,0.01789,-0.03791,0.99797,1.00,-0.02853,-0.02302,-0.00066,0.99933,-0.04904,-0.00921,-0.03814,0.99803,1.00
67,2.66418,-0.01958,0.01267,-0.03841,0.99899,-0.02866,0.00412,0.00012,0.99958,-0.04804,0.01789,-0.03799,0.99796,1.00,-0.02861,-0.02298,-0.00066,0.99933,-0.04904,-0.00921,-0.03823,0.99802,1.00
78,3.08939,-0.01951,0.01261,-0.03847,0.99899,-0.02953,0.00433,0.00013,0.99955,-0.04884,0.01807,-0.03804,0.99792,1.00,-0.02948,-0.02277,-0.00067,0.99931,-0.04983,-0.00902,-0.03830,0.99798,1.00
88,3.52038,-0.01956,0.01258,-0.03857,0.99899,-0.02949,0.00436,0.00013,0.99956,-0.04884,0.01807,-0.03814,0.99791,1.00,-0.02943,-0.02275,-0.00067,0.99931,-0.04983,-0.00903,-0.03840,0.99798,1.00
100,3.97363,-0.01948,0.01255,-0.03860,0.99899,-0.02956,0.00438,0.00013,0.99955,-0.04884,0.01807,-0.03816,0.99791,1.00,-0.02950,-0.02272,-0.00067,0.99931,-0.04983,-0.00903,-0.03843,0.99798,1.00
111,4.39142,-0.01947,0.01255,-0.03869,0.99898,-0.02988,0.00425,0.00013,0.99954,-0.04915,0.01795,-0.03825,0.99790,1.00,-0.02983,-0.02286,-0.00068,0.99929,-0.05015,-0.00915,-0.03852,0.99796,1.00
122,4.82379,-0.01942,0.01265,-0.03886,0.99898,-0.02994,0.00414,0.00012,0.99954,-0.04915,0.01794,-0.03842,0.99789,1.00,-0.02987,-0.02297,-0.00069,0.99929,-0.05015,-0.00916,-0.03869,0.99795,1.00
134,5.28440,-0.01939,0.01278,-0.03911,0.99897,-0.02997,0.00398,0.00012,0.99954,-0.04916,0.01793,-0.03866,0.99788,1.00,-0.02989,-0.02313,-0.00069,0.99929,-0.05015,-0.00917,-0.03894,0.99794,1.00
144,5.69288,-0.01936,0.01293,-0.03927,0.99896,-0.02994,0.00377,0.00011,0.99954,-0.04911,0.01787,-0.03883,0.99788,1.00,-0.02987,-0.02333,-0.00070,0.99928,-0.05011,-0.00923,-0.03910,0.99794,1.00
155,6.11972,-0.01940,0.01304,-0.03933,0.99895,-0.02989,0.00367,0.00011,0.99955,-0.04911,0.01787,-0.03888,0.99788,1.00,-0.02982,-0.02344,-0.00070,0.99928,-0.05011,-0.00923,-0.03916,0.99793,1.00
167,6.55043,-0.01945,0.01313,-0.03936,0.99895,-0.02984,0.00357,0.00011,0.99955,-0.04911,0.01787,-0.03891,0.99788,1.00,-0.02976,-0.02353,-0.00070,0.99928,-0.05010,-0.00923,-0.03918,0.99793,1.00
178,6.95602,-0.01961,0.01323,-0.03931,0.99895,-0.03038,0.00112,0.00003,0.99954,-0.04990,0.01554,-0.03888,0.99788,1.00,-0.03031,-0.02598,-0.00079,0.99920,-0.05091,-0.01156,-0.03916,0.99787,1.00
189,7.36973,-0.01972,0.01329,-0.03924,0.99895,-0.03026,0.00108,0.00003,0.99954,-0.04990,0.01554,-0.03881,0.99788,1.00,-0.03020,-0.02603,-0.00079,0.99920,-0.05091,-0.01155,-0.03908,0.99787,1.00
200,7.79781,-0.01969,0.01333,-0.03939,0.99894,-0.03030,0.00102,0.00003,0.99954,-0.04990,0.01554,-0.03896,0.99787,1.00,-0.03023,-0.02608,-0.00079,0.99920,-0.05091,-0.01156,-0.03923,0.99787,1.00
211,8.20168,-0.01957,0.01340,-0.03970,0.99893,-0.03288,0.00121,0.00004,0.99946,-0.05236,0.01590,-0.03922,0.99773,1.00,-0.03281,-0.02590,-0.00085,0.99913,-0.05337,-0.01120,-0.03957,0.99773,1.00
222,8.60158,-0.01952,0.01346,-0.03994,0.99892,-0.03294,0.00113,0.00004,0.99946,-0.05237,0.01589,-0.03946,0.99772,1.00,-0.03285,-0.02598,-0.00085,0.99912,-0.05337,-0.01121,-0.03981,0.99772,1.00
234,9.01255,-0.01948,0.01342,-0.04002,0.99892,-0.03298,0.00115,0.00004,0.99946,-0.05237,0.01589,-0.03954,0.99772,1.00,-0.03288,-0.02596,-0.00085,0.99912,-0.05336,-0.01122,-0.03989,0.99772,1.00
245,9.39511,-0.01944,0.01339,-0.04006,0.99892,-0.03308,0.00180,0.00006,0.99945,-0.05241,0.01650,-0.03957,0.99770,1.00,-0.03300,-0.02532,-0.00084,0.99913,-0.05342,-0.01060,-0.03993,0.99772,1.00
256,9.78608,-0.01942,0.01336,-0.04012,0.99892,-0.03311,0.00182,0.00006,0.99945,-0.05241,0.01650,-0.03963,0.99770,1.00,-0.03302,-0.02529,-0.00084,0.99913,-0.05342,-0.01061,-0.03999,0.99771,1.00
267,10.17955,-0.01940,0.01329,-0.04011,0.99892,-0.03314,0.00189,0.00006,0.99945,-0.05241,0.01650,-0.03962,0.99770,1.00,-0.03305,-0.02522,-0.00083,0.99914,-0.05342,-0.01060,-0.03998,0.99772,1.00
278,10.55119,-0.01927,0.01319,-0.04010,0.99892,-0.03320,0.00261,0.00009,0.99945,-0.05232,0.01712,-0.03961,0.99770,1.00,-0.03314,-0.02451,-0.00081,0.99915,-0.05335,-0.00999,-0.03997,0.99773,1.00
289,10.93114,-0.01899,0.01310,-0.04010,0.99893,-0.03348,0.00268,0.00009,0.99944,-0.05232,0.01712,-0.03959,0.99770,1.00,-0.03342,-0.02443,-0.00082,0.99914,-0.05335,-0.00999,-0.03998,0.99773,1.00
301,11.31259,-0.01866,0.01303,-0.04006,0.99894,-0.03382,0.00275,0.00009,0.99942,-0.05232,0.01712,-0.03955,0.99770,1.00,-0.03376,-0.02437,-0.00082,0.99913,-0.05335,-0.00999,-0.03995,0.99773,1.00
311,11.66628,-0.01833,0.01296,-0.03988,0.99895,-0.03409,0.00394,0.00013,0.99941,-0.05222,0.01825,-0.03935,0.99769,1.00,-0.03405,-0.02318,-0.00079,0.99915,-0.05327,-0.00886,-0.03977,0.99775,1.00
322,12.02233,-0.01799,0.01276,-0.03965,0.99897,-0.03444,0.00414,0.00014,0.99940,-0.05221,0.01826,-0.03912,0.99770,1.00,-0.03441,-0.02297,-0.00079,0.99914,-0.05327,-0.00885,-0.03956,0.99776,1.00
334,12.38881,-0.01760,0.01269,-0.03936,0.99899,-0.03482,0.00423,0.00015,0.99938,-0.05221,0.01828,-0.03882,0.99771,1.00,-0.03481,-0.02289,-0.00080,0.99913,-0.05327,-0.00883,-0.03928,0.99777,1.00
345,12.72325,-0.01724,0.01260,-0.03900,0.99901,-0.03507,0.00457,0.00016,0.99937,-0.05208,0.01852,-0.03845,0.99773,1.00,-0.03507,-0.02255,-0.00079,0.99913,-0.05315,-0.00859,-0.03892,0.99779,1.00
356,13.06199,-0.01679,0.01249,-0.03858,0.99904,-0.03551,0.00469,0.00017,0.99936,-0.05207,0.01855,-0.03802,0.99775,1.00,-0.03554,-0.02243,-0.00080,0.99912,-0.05316,-0.00857,-0.03852,0.99781,1.00
367,13.40519,-0.01630,0.01241,-0.03828,0.99906,-0.03600,0.00479,0.00017,0.99934,-0.05207,0.01856,-0.03771,0.99776,1.00,-0.03604,-0.02234,-0.00081,0.99910,-0.05316,-0.00855,-0.03824,0.99782,1.00
378,13.72628,-0.01583,0.01236,-0.03804,0.99907,-0.07666,0.05354,0.00412,0.99561,-0.09027,0.06878,-0.03365,0.99297,1.00,-0.07715,0.02633,0.00204,0.99667,-0.09183,0.04159,-0.03534,0.99428,1.00
