Time_ms,Phase,PhaseTime_ms,TargetRotX,TargetRotY,HeadRotX,HeadRotY,HeadRotZ,HeadRotW,LeftLocalRotX,LeftLocalRotY,LeftLocalRotZ,LeftLocalRotW,LeftWorldRotX,LeftWorldRotY,LeftWorldRotZ,LeftWorldRotW,RightLocalRotX,RightLocalRotY,RightLocalRotZ,RightLocalRotW,RightWorldRotX,RightWorldRotY,RightWorldRotZ,RightWorldRotW,LeftBlinkWeight,RightBlinkWeight,LeftConfidence,RightConfidence
0,Fixation,0,0.00,0.00,-0.04313,0.01270,-0.03533,0.99836,0.04572,-0.00592,0.00027,0.99894,0.00236,0.00517,-0.03535,0.99936,0.04561,-0.03305,0.00151,0.99841,0.00133,-0.02186,-0.03292,0.99922,0.00000,0.03677,1.00,1.00
22,Fixation,22,0.00,0.00,-0.04770,0.01281,-0.03599,0.99813,0.04656,-0.00688,0.00032,0.99889,-0.00142,0.00427,-0.03590,0.99935,0.04649,-0.03401,0.00158,0.99834,-0.00242,-0.02275,-0.03332,0.99918,0.00000,0.02475,1.00,1.00
32,Fixation,32,0.00,0.00,-0.04853,0.01353,-0.03504,0.99812,0.04815,-0.00882,0.00043,0.99880,-0.00071,0.00305,-0.03480,0.99939,0.04801,-0.03595,0.00173,0.99820,-0.00176,-0.02398,-0.03216,0.99919,0.00000,0.02475,1.00,1.00
43,Fixation,43,0.00,0.00,-0.04925,0.01384,-0.03377,0.99812,0.04620,-0.00895,0.00041,0.99889,-0.00338,0.00335,-0.03352,0.99943,0.04598,-0.03608,0.00166,0.99829,-0.00447,-0.02367,-0.03092,0.99923,0.00000,0.00685,1.00,1.00
55,Fixation,55,0.00,0.00,-0.05014,0.01383,-0.03277,0.99811,0.04709,-0.00896,0.00042,0.99885,-0.00337,0.00335,-0.03251,0.99946,0.04681,-0.03609,0.00169,0.99825,-0.00449,-0.02366,-0.02986,0.99926,0.00000,0.00685,1.00,1.00
66,Fixation,66,0.00,0.00,-0.05154,0.01354,-0.03254,0.99805,0.04636,-0.00588,0.00027,0.99891,-0.00540,0.00616,-0.03255,0.99944,0.04610,-0.03302,0.00152,0.99839,-0.00650,-0.02086,-0.02988,0.99931,0.00000,0.00156,1.00,1.00
77,Fixation,77,0.00,0.00,-0.05315,0.01275,-0.03259,0.99797,0.04955,-0.00502,0.00025,0.99876,-0.00380,0.00612,-0.03267,0.99944,0.04932,-0.03217,0.00159,0.99826,-0.00487,-0.02090,-0.02987,0.99932,0.00000,0.00156,1.00,1.00
88,Fixation,88,0.00,0.00,-0.05489,0.01211,-0.03295,0.99788,0.05164,-0.00507,0.00026,0.99865,-0.00345,0.00535,-0.03299,0.99944,0.05145,-0.03222,0.00166,0.99815,-0.00449,-0.02168,-0.03009,0.99930,0.00000,0.00156,1.00,1.00
99,Fixation,99,0.00,0.00,-0.05647,0.01161,-0.03312,0.99779,0.05189,-0.00567,0.00029,0.99864,-0.00480,0.00424,-0.03306,0.99943,0.05174,-0.03282,0.00170,0.99812,-0.00580,-0.02278,-0.03010,0.99927,0.00000,0.00003,1.00,1.00
111,Fixation,111,0.00,0.00,-0.05792,0.01129,-0.03310,0.99771,0.05333,-0.00530,0.00028,0.99856,-0.00480,0.00424,-0.03307,0.99943,0.05318,-0.03246,0.00173,0.99806,-0.00581,-0.02278,-0.03003,0.99927,0.00000,0.00003,1.00,1.00
121,Fixation,121,0.00,0.00,-0.05938,0.01093,-0.03270,0.99764,0.05754,-0.00541,0.00031,0.99833,-0.00206,0.00365,-0.03264,0.99946,0.05736,-0.03259,0.00187,0.99782,-0.00308,-0.02337,-0.02945,0.99929,0.00036,0.00000,1.00,1.00
133,Fixation,133,0.00,0.00,-0.06088,0.01056,-0.03230,0.99757,0.06136,-0.00322,0.00020,0.99811,0.00034,0.00535,-0.03249,0.99946,0.06118,-0.03043,0.00187,0.99766,-0.00068,-0.02168,-0.02915,0.99934,0.00036,0.00000,1.00,1.00
144,Fixation,144,0.00,0.00,-0.06217,0.01020,-0.03230,0.99749,0.06107,-0.00335,0.00020,0.99813,-0.00124,0.00489,-0.03245,0.99946,0.06089,-0.03055,0.00186,0.99768,-0.00226,-0.02214,-0.02908,0.99933,0.00036,0.00000,1.00,1.00
155,Fixation,155,0.00,0.00,-0.06312,0.01003,-0.03262,0.99742,0.06295,-0.00274,0.00017,0.99801,-0.00030,0.00523,-0.03284,0.99945,0.06279,-0.02996,0.00189,0.99758,-0.00129,-0.02180,-0.02940,0.99933,0.00040,0.00000,1.00,1.00
167,Fixation,167,0.00,0.00,-0.06385,0.00985,-0.03299,0.99737,0.06367,-0.00251,0.00016,0.99797,-0.00030,0.00523,-0.03323,0.99943,0.06354,-0.02973,0.00189,0.99753,-0.00128,-0.02180,-0.02974,0.99932,0.00040,0.00000,1.00,1.00
177,Fixation,177,0.00,0.00,-0.06456,0.00960,-0.03311,0.99732,0.06338,-0.00137,0.00009,0.99799,-0.00127,0.00612,-0.03348,0.99942,0.06327,-0.02859,0.00181,0.99758,-0.00223,-0.02092,-0.02998,0.99933,0.00034,0.00000,1.00,1.00
189,Fixation,189,0.00,0.00,-0.06531,0.00947,-0.03317,0.99727,0.06497,-0.00157,0.00010,0.99789,-0.00043,0.00574,-0.03351,0.99942,0.06486,-0.02880,0.00187,0.99748,-0.00140,-0.02130,-0.02995,0.99932,0.00034,0.00000,1.00,1.00
200,Fixation,200,0.00,0.00,-0.06606,0.00940,-0.03308,0.99722,0.06455,-0.00003,0.00000,0.99791,-0.00155,0.00722,-0.03361,0.99941,0.06445,-0.02726,0.00176,0.99755,-0.00252,-0.01982,-0.03005,0.99935,0.00026,0.00000,1.00,1.00
211,Fixation,211,0.00,0.00,-0.06679,0.00938,-0.03289,0.99718,0.06566,0.00007,0.00000,0.99784,-0.00117,0.00726,-0.03345,0.99941,0.06554,-0.02717,0.00179,0.99748,-0.00214,-0.01978,-0.02983,0.99936,0.00026,0.00000,1.00,1.00
222,Fixation,222,0.00,0.00,-0.06747,0.00933,-0.03267,0.99714,0.06859,-0.00006,0.00000,0.99764,0.00108,0.00701,-0.03323,0.99942,0.06845,-0.02731,0.00187,0.99728,0.00009,-0.02004,-0.02951,0.99936,0.00026,0.00000,1.00,1.00
233,Fixation,233,0.00,0.00,-0.06814,0.00949,-0.03271,0.99709,0.06926,-0.00019,0.00001,0.99760,0.00108,0.00701,-0.03326,0.99942,0.06912,-0.02745,0.00190,0.99723,0.00009,-0.02004,-0.02951,0.99936,0.00020,0.00000,1.00,1.00
245,Fixation,245,0.00,0.00,-0.06850,0.00956,-0.03264,0.99707,0.06971,-0.00044,0.00003,0.99757,0.00116,0.00682,-0.03317,0.99943,0.06957,-0.02770,0.00193,0.99719,0.00017,-0.02023,-0.02939,0.99936,0.00020,0.00000,1.00,1.00
256,Fixation,256,0.00,0.00,-0.06857,0.00979,-0.03271,0.99706,0.07020,-0.00051,0.00004,0.99753,0.00158,0.00696,-0.03324,0.99942,0.07006,-0.02778,0.00195,0.99715,0.00059,-0.02009,-0.02945,0.99936,0.00020,0.00000,1.00,1.00
266,Fixation,266,0.00,0.00,-0.06861,0.00996,-0.03266,0.99706,0.07266,-0.00070,0.00005,0.99736,0.00400,0.00686,-0.03320,0.99942,0.07252,-0.02798,0.00204,0.99697,0.00301,-0.02020,-0.02934,0.99936,0.00015,0.00000,1.00,1.00
278,Fixation,278,0.00,0.00,-0.06848,0.01016,-0.03264,0.99707,0.07196,-0.00084,0.00006,0.99741,0.00342,0.00695,-0.03317,0.99942,0.07181,-0.02811,0.00202,0.99702,0.00243,-0.02010,-0.02933,0.99936,0.00015,0.00000,1.00,1.00
289,Fixation,289,0.00,0.00,-0.06819,0.01033,-0.03264,0.99708,0.07168,-0.00102,0.00007,0.99743,0.00342,0.00695,-0.03315,0.99942,0.07153,-0.02829,0.00203,0.99704,0.00243,-0.02010,-0.02933,0.99936,0.00011,0.00000,1.00,1.00
301,Fixation,301,0.00,0.00,-0.06760,0.01034,-0.03241,0.99713,0.07155,-0.00079,0.00006,0.99744,0.00389,0.00721,-0.03296,0.99942,0.07139,-0.02806,0.00201,0.99705,0.00290,-0.01985,-0.02915,0.99937,0.00011,0.00000,1.00,1.00
312,Fixation,312,0.00,0.00,-0.06694,0.01023,-0.03216,0.99719,0.08721,0.00497,-0.00044,0.99618,0.02044,0.01232,-0.03369,0.99915,0.08708,-0.02241,0.00196,0.99595,0.01947,-0.01482,-0.02946,0.99927,0.00011,0.00000,1.00,1.00
322,Fixation,322,0.00,0.00,-0.06630,0.01008,-0.03187,0.99724,0.08943,0.00667,-0.00060,0.99597,0.02336,0.01380,-0.03368,0.99906,0.08930,-0.02073,0.00186,0.99579,0.02240,-0.01336,-0.02940,0.99923,0.00008,0.00000,1.00,1.00
