Time_ms,TargetRotX,TargetRotY,HeadRotX,HeadRotY,HeadRotZ,HeadRotW,LeftLocalRotX,LeftLocalRotY,LeftLocalRotZ,LeftLocalRotW,LeftWorldRotX,LeftWorldRotY,LeftWorldRotZ,LeftWorldRotW,LeftConfidence,RightLocalRotX,RightLocalRotY,RightLocalRotZ,RightLocalRotW,RightWorldRotX,RightWorldRotY,RightWorldRotZ,RightWorldRotW,RightConfidence
0,0.00,0.00,-0.01375,0.01851,0.05141,-0.99841,-0.03634,-0.02587,0.00094,-0.99900,0.05137,0.00548,-0.05127,0.99735,1.00,-0.03643,0.00125,-0.00005,-0.99934,0.05004,-0.02162,-0.05067,0.99723,1.00
12,0.00,0.00,-0.01390,0.01826,0.05148,-0.99841,-0.03637,-0.02549,0.00093,-0.99901,0.05154,0.00535,-0.05134,0.99734,1.00,-0.03646,0.00163,-0.00006,-0.99933,0.05021,-0.02175,-0.05075,0.99721,1.00
23,0.00,0.00,-0.01384,0.01792,0.05155,-0.99841,-0.03645,-0.02517,0.00092,-0.99902,0.05154,0.00535,-0.05142,0.99733,1.00,-0.03654,0.00195,-0.00007,-0.99933,0.05021,-0.02175,-0.05082,0.99721,1.00
34,0.00,0.00,-0.01371,0.01768,0.05169,-0.99841,-0.03619,-0.02499,0.00091,-0.99903,0.05114,0.00543,-0.05156,0.99734,1.00,-0.03628,0.00213,-0.00008,-0.99934,0.04981,-0.02167,-0.05097,0.99722,1.00
45,0.00,0.00,-0.01351,0.01737,0.05182,-0.99841,-0.03656,-0.02493,0.00091,-0.99902,0.05131,0.00565,-0.05171,0.99733,1.00,-0.03664,0.00219,-0.00008,-0.99933,0.04997,-0.02145,-0.05110,0.99721,1.00
58,0.00,0.00,-0.01315,0.01716,0.05185,-0.99842,-0.03692,-0.02474,0.00091,-0.99901,0.05130,0.00565,-0.05175,0.99733,1.00,-0.03701,0.00238,-0.00009,-0.99931,0.04997,-0.02145,-0.05112,0.99721,1.00
68,0.00,0.00,-0.01296,0.01706,0.05191,-0.99842,-0.03730,-0.02569,0.00096,-0.99897,0.05154,0.00668,-0.05184,0.99730,1.00,-0.03738,0.00143,-0.00005,-0.99930,0.05020,-0.02042,-0.05120,0.99722,1.00
80,0.00,0.00,-0.01303,0.01687,0.05198,-0.99842,-0.03707,-0.02582,0.00096,-0.99898,0.05138,0.00701,-0.05192,0.99730,1.00,-0.03715,0.00130,-0.00005,-0.99931,0.05004,-0.02009,-0.05129,0.99723,1.00
91,0.00,0.00,-0.01290,0.01675,0.05206,-0.99842,-0.03719,-0.02571,0.00096,-0.99898,0.05138,0.00702,-0.05200,0.99730,1.00,-0.03728,0.00141,-0.00005,-0.99930,0.05004,-0.02008,-0.05136,0.99722,1.00
102,0.00,0.00,-0.01261,0.01671,0.05211,-0.99842,-0.03563,-0.02451,0.00087,-0.99906,0.04946,0.00593,-0.05203,0.99740,1.00,-0.03570,0.00261,-0.00009,-0.99936,0.04811,-0.02117,-0.05142,0.99729,1.00
113,0.00,0.00,-0.01247,0.01671,0.05217,-0.99842,-0.03558,-0.02476,0.00088,-0.99906,0.04929,0.00618,-0.05210,0.99741,1.00,-0.03565,0.00236,-0.00008,-0.99936,0.04793,-0.02092,-0.05148,0.99730,1.00
124,0.00,0.00,-0.01241,0.01673,0.05245,-0.99841,-0.03563,-0.02480,0.00088,-0.99906,0.04929,0.00619,-0.05238,0.99739,1.00,-0.03571,0.00232,-0.00008,-0.99936,0.04794,-0.02090,-0.05176,0.99729,1.00
135,0.00,0.00,-0.01225,0.01677,0.05263,-0.99840,-0.03645,-0.02467,0.00090,-0.99903,0.04995,0.00596,-0.05256,0.99735,1.00,-0.03654,0.00245,-0.00009,-0.99933,0.04859,-0.02114,-0.05192,0.99724,1.00
147,0.00,0.00,-0.01205,0.01689,0.05268,-0.99840,-0.03643,-0.02464,0.00090,-0.99903,0.04972,0.00582,-0.05261,0.99736,1.00,-0.03651,0.00248,-0.00009,-0.99933,0.04836,-0.02128,-0.05197,0.99725,1.00
157,0.00,0.00,-0.01172,0.01705,0.05258,-0.99840,-0.03675,-0.02481,0.00091,-0.99902,0.04972,0.00581,-0.05252,0.99736,1.00,-0.03683,0.00231,-0.00009,-0.99932,0.04836,-0.02129,-0.05185,0.99726,1.00
169,0.00,0.00,-0.01128,0.01737,0.05220,-0.99842,-0.03698,-0.02468,0.00091,-0.99901,0.04949,0.00537,-0.05214,0.99740,1.00,-0.03702,0.00245,-0.00009,-0.99931,0.04811,-0.02173,-0.05145,0.99728,1.00
