Time_ms,LeftBlinkWeight,RightBlinkWeight,LeftConfidence,RightConfidence
0,0.00000,0.01655,1.00,1.00
11,0.00000,0.01655,1.00,1.00
21,0.00000,0.02388,1.00,1.00
34,0.00000,0.02388,1.00,1.00
44,0.00000,0.02334,1.00,1.00
56,0.00000,0.02334,1.00,1.00
67,0.00000,0.02334,1.00,1.00
77,0.00000,0.02253,1.00,1.00
89,0.00000,0.02253,1.00,1.00
100,0.00000,0.02188,1.00,1.00
111,0.00000,0.02188,1.00,1.00
121,0.00000,0.02188,1.00,1.00
132,0.00000,0.02564,1.00,1.00
144,0.00000,0.02564,1.00,1.00
155,0.00000,0.02369,1.00,1.00
167,0.00000,0.02369,1.00,1.00
179,0.00000,0.02369,1.00,1.00
188,0.00000,0.02250,1.00,1.00
201,0.00000,0.02250,1.00,1.00
211,0.00000,0.00984,1.00,1.00
223,0.00000,0.00984,1.00,1.00
233,0.00000,0.00984,1.00,1.00
245,0.00000,0.00217,1.00,1.00
257,0.00000,0.00217,1.00,1.00
266,0.00000,0.00132,1.00,1.00
279,0.00000,0.00132,1.00,1.00
289,0.00000,0.00132,1.00,1.00
300,0.00000,0.00215,1.00,1.00
312,0.00000,0.00215,1.00,1.00
322,0.00000,0.00285,1.00,1.00
335,0.00000,0.00285,1.00,1.00
345,0.00000,0.00088,1.00,1.00
356,0.00000,0.00088,1.00,1.00
368,0.00000,0.00088,1.00,1.00
378,0.00000,0.00021,1.00,1.00
389,0.00000,0.00021,1.00,1.00
402,0.00000,0.00021,1.00,1.00
412,0.00000,0.00000,1.00,1.00
424,0.00000,0.00000,1.00,1.00
435,0.00000,0.00000,1.00,1.00
447,0.00006,0.00000,1.00,1.00
457,0.00006,0.00000,1.00,1.00
467,0.00007,0.00000,1.00,1.00
479,0.00007,0.00000,1.00,1.00
490,0.00006,0.00000,1.00,1.00
502,0.00006,0.00000,1.00,1.00
512,0.00006,0.00000,1.00,1.00
523,0.00005,0.00000,1.00,1.00
536,0.00005,0.00000,1.00,1.00
546,0.00000,0.00120,1.00,1.00
558,0.00000,0.00120,1.00,1.00
565,0.00000,0.00120,1.00,1.00
579,0.00000,0.00072,1.00,1.00
591,0.00000,0.00072,1.00,1.00
607,0.00000,0.00044,1.00,1.00
623,0.00000,0.00044,1.00,1.00
641,0.00000,0.00149,1.00,1.00
652,0.00000,0.00149,1.00,1.00
665,0.00000,0.00224,1.00,1.00
678,0.00000,0.00224,1.00,1.00
691,0.00000,0.00141,1.00,1.00
705,0.00000,0.00141,1.00,1.00
719,0.00000,0.00223,1.00,1.00
732,0.00000,0.00223,1.00,1.00
745,0.00000,0.00143,1.00,1.00
758,0.00000,0.00143,1.00,1.00
770,0.00000,0.00094,1.00,1.00
783,0.00000,0.00094,1.00,1.00
797,0.00000,0.00197,1.00,1.00
812,0.00000,0.00197,1.00,1.00
824,0.00000,0.00130,1.00,1.00
838,0.00000,0.00130,1.00,1.00
850,0.00000,0.00222,1.00,1.00
863,0.00000,0.00222,1.00,1.00
875,0.00000,0.00222,1.00,1.00
887,0.00000,0.00148,1.00,1.00
899,0.00000,0.00148,1.00,1.00
913,0.00000,0.00099,1.00,1.00
926,0.00000,0.00099,1.00,1.00
937,0.00000,0.00068,1.00,1.00
951,0.00000,0.00068,1.00,1.00
963,0.00000,0.00047,1.00,1.00
976,0.00000,0.00047,1.00,1.00
988,0.00000,0.00176,1.00,1.00
1001,0.00000,0.00176,1.00,1.00
1012,0.00000,0.00176,1.00,1.00
1025,0.00000,0.00121,1.00,1.00
1038,0.00000,0.00121,1.00,1.00
1051,0.00000,0.00084,1.00,1.00
1065,0.00000,0.00084,1.00,1.00
1078,0.00000,0.00059,1.00,1.00
1091,0.00000,0.00059,1.00,1.00
1103,0.00000,0.00041,1.00,1.00
1116,0.00000,0.00041,1.00,1.00
1128,0.00000,0.00029,1.00,1.00
1141,0.00000,0.00029,1.00,1.00
1154,0.00000,0.00029,1.00,1.00
1167,0.00000,0.00021,1.00,1.00
1178,0.00000,0.00021,1.00,1.00
1190,0.00000,0.00015,1.00,1.00
1203,0.00000,0.00015,1.00,1.00
1215,0.00000,0.00011,1.00,1.00
1227,0.00000,0.00011,1.00,1.00
1240,0.00000,0.00008,1.00,1.00
1254,0.00000,0.00008,1.00,1.00
1267,0.00000,0.00006,1.00,1.00
1280,0.00000,0.00006,1.00,1.00
1294,0.00000,0.00006,1.00,1.00
1307,0.00000,0.00004,1.00,1.00
1321,0.00000,0.00003,1.00,1.00
1334,0.00000,0.00003,1.00,1.00
1346,0.00000,0.00003,1.00,1.00
1358,0.00000,0.00002,1.00,1.00
1371,0.00000,0.00002,1.00,1.00
1383,0.00000,0.00002,1.00,1.00
1396,0.00000,0.00002,1.00,1.00
1409,0.00000,0.00001,1.00,1.00
1423,0.00000,0.00001,1.00,1.00
1434,0.00000,0.00001,1.00,1.00
1447,0.00000,0.00001,1.00,1.00
1460,0.00000,0.00001,1.00,1.00
1473,0.00000,0.00001,1.00,1.00
1487,0.00000,0.00001,1.00,1.00
1499,0.00000,0.00000,1.00,1.00
1512,0.00000,0.00000,1.00,1.00
1525,0.00000,0.00000,1.00,1.00
1537,0.00000,0.00000,1.00,1.00
1548,0.00000,0.00000,1.00,1.00
1560,0.00000,0.00000,1.00,1.00
1572,0.00000,0.00000,1.00,1.00
1584,0.00000,0.00000,1.00,1.00
1600,0.00000,0.00000,1.00,1.00
1614,0.00000,0.00000,1.00,1.00
1628,0.00000,0.00000,1.00,1.00
1642,0.00000,0.00000,1.00,1.00
1655,0.00000,0.00000,1.00,1.00
1669,0.00000,0.00000,1.00,1.00
1681,0.00000,0.00000,1.00,1.00
1693,0.00000,0.00000,1.00,1.00
1710,0.00000,0.00000,1.00,1.00
1723,0.00000,0.00000,1.00,1.00
1733,0.00000,0.00000,1.00,1.00
1746,0.00000,0.00000,1.00,1.00
1759,0.00000,0.00000,1.00,1.00
1772,0.00000,0.00000,1.00,1.00
1785,0.00000,0.00000,1.00,1.00
1798,0.00000,0.00000,1.00,1.00
1811,0.00000,0.00000,1.00,1.00
1823,0.00000,0.00000,1.00,1.00
1836,0.00000,0.00000,1.00,1.00
1848,0.00000,0.00000,1.00,1.00
1862,0.00000,0.00000,1.00,1.00
1875,0.00000,0.00000,1.00,1.00
1889,0.00000,0.00000,1.00,1.00
1903,0.00000,0.00000,1.00,1.00
1914,0.00000,0.00000,1.00,1.00
1927,0.00000,0.00000,1.00,1.00
1939,0.00000,0.00000,1.00,1.00
1952,0.00000,0.00000,1.00,1.00
