Time_ms,HeadRotX,HeadRotY,HeadRotZ,HeadRotW,LeftLocalRotX,LeftLocalRotY,LeftLocalRotZ,LeftLocalRotW,LeftWorldRotX,LeftWorldRotY,LeftWorldRotZ,LeftWorldRotW,LeftConfidence,RightLocalRotX,RightLocalRotY,RightLocalRotZ,RightLocalRotW,RightWorldRotX,RightWorldRotY,RightWorldRotZ,RightWorldRotW,RightConfidence
0,-0.01385,-0.00666,0.01023,-0.99983,-0.07559,-0.00339,0.00026,-0.99713,0.08942,0.00925,-0.01092,0.99589,1.00,-0.07549,0.02392,-0.00181,-0.99686,0.08905,-0.01807,-0.00922,0.99582,1.00
12,-0.01374,-0.00681,0.01018,-0.99983,-0.07677,-0.00318,0.00025,-0.99704,0.09049,0.00920,-0.01087,0.99580,1.00,-0.07666,0.02413,-0.00186,-0.99676,0.09011,-0.01814,-0.00915,0.99572,1.00
22,-0.01359,-0.00693,0.01014,-0.99983,-0.07895,-0.00310,0.00025,-0.99687,0.09251,0.00921,-0.01086,0.99561,1.00,-0.07883,0.02423,-0.00192,-0.99659,0.09213,-0.01814,-0.00907,0.99554,1.00
33,-0.01353,-0.00704,0.01014,-0.99983,-0.07900,-0.00299,0.00024,-0.99687,0.09251,0.00921,-0.01086,0.99561,1.00,-0.07889,0.02434,-0.00193,-0.99658,0.09213,-0.01814,-0.00906,0.99554,1.00
45,-0.01350,-0.00712,0.01015,-0.99983,-0.07889,-0.00395,0.00031,-0.99688,0.09237,0.01025,-0.01094,0.99561,1.00,-0.07879,0.02337,-0.00185,-0.99662,0.09201,-0.01710,-0.00915,0.99557,1.00
57,-0.01353,-0.00726,0.01021,-0.99983,-0.07776,-0.00221,0.00017,-0.99697,0.09127,0.00866,-0.01088,0.99573,1.00,-0.07765,0.02511,-0.00196,-0.99666,0.09088,-0.01868,-0.00912,0.99564,1.00
67,-0.01357,-0.00734,0.01019,-0.99983,-0.07773,-0.00213,0.00017,-0.99697,0.09127,0.00866,-0.01087,0.99573,1.00,-0.07761,0.02519,-0.00196,-0.99666,0.09088,-0.01869,-0.00911,0.99564,1.00
78,-0.01371,-0.00743,0.01024,-0.99983,-0.07750,-0.00094,0.00007,-0.99699,0.09116,0.00755,-0.01084,0.99575,1.00,-0.07738,0.02637,-0.00205,-0.99665,0.09077,-0.01979,-0.00909,0.99563,1.00
88,-0.01380,-0.00747,0.01030,-0.99982,-0.07780,-0.00101,0.00008,-0.99697,0.09156,0.00766,-0.01092,0.99571,1.00,-0.07768,0.02630,-0.00205,-0.99663,0.09117,-0.01968,-0.00916,0.99560,1.00
101,-0.01382,-0.00749,0.01033,-0.99982,-0.07779,-0.00100,0.00008,-0.99697,0.09156,0.00766,-0.01094,0.99571,1.00,-0.07766,0.02631,-0.00205,-0.99663,0.09117,-0.01968,-0.00919,0.99560,1.00
112,-0.01375,-0.00750,0.01038,-0.99982,-0.07835,-0.00111,0.00009,-0.99693,0.09205,0.00778,-0.01101,0.99566,1.00,-0.07823,0.02620,-0.00206,-0.99659,0.09166,-0.01956,-0.00924,0.99556,1.00
123,-0.01359,-0.00746,0.01043,-0.99983,-0.07909,-0.00226,0.00018,-0.99686,0.09264,0.00887,-0.01113,0.99560,1.00,-0.07898,0.02506,-0.00199,-0.99656,0.09226,-0.01848,-0.00934,0.99552,1.00
134,-0.01340,-0.00737,0.01046,-0.99983,-0.07928,-0.00236,0.00019,-0.99685,0.09264,0.00888,-0.01117,0.99560,1.00,-0.07917,0.02497,-0.00198,-0.99655,0.09226,-0.01848,-0.00936,0.99552,1.00
145,-0.01328,-0.00727,0.01048,-0.99983,-0.08162,-0.00249,0.00020,-0.99666,0.09486,0.00888,-0.01121,0.99539,1.00,-0.08150,0.02485,-0.00203,-0.99636,0.09447,-0.01849,-0.00933,0.99531,1.00
157,-0.01322,-0.00714,0.01058,-0.99983,-0.08155,-0.00260,0.00021,-0.99667,0.09473,0.00886,-0.01130,0.99540,1.00,-0.08144,0.02474,-0.00202,-0.99637,0.09434,-0.01851,-0.00942,0.99532,1.00
167,-0.01317,-0.00707,0.01057,-0.99983,-0.08160,-0.00267,0.00022,-0.99666,0.09473,0.00886,-0.01130,0.99540,1.00,-0.08148,0.02467,-0.00202,-0.99637,0.09434,-0.01851,-0.00942,0.99532,1.00
179,-0.01315,-0.00698,0.01063,-0.99983,-0.07900,-0.00271,0.00022,-0.99687,0.09212,0.00883,-0.01133,0.99564,1.00,-0.07889,0.02461,-0.00195,-0.99658,0.09173,-0.01851,-0.00952,0.99557,1.00
190,-0.01312,-0.00690,0.01062,-0.99983,-0.07892,-0.00267,0.00021,-0.99688,0.09202,0.00872,-0.01130,0.99566,1.00,-0.07881,0.02465,-0.00195,-0.99658,0.09162,-0.01863,-0.00950,0.99557,1.00
201,-0.01308,-0.00684,0.01057,-0.99984,-0.07897,-0.00273,0.00022,-0.99687,0.09202,0.00872,-0.01126,0.99566,1.00,-0.07885,0.02459,-0.00195,-0.99658,0.09162,-0.01863,-0.00945,0.99557,1.00
212,-0.01299,-0.00671,0.01051,-0.99984,-0.07822,-0.00562,0.00044,-0.99692,0.09122,0.01149,-0.01137,0.99570,1.00,-0.07813,0.02170,-0.00170,-0.99671,0.09085,-0.01586,-0.00958,0.99569,1.00
223,-0.01287,-0.00662,0.01043,-0.99984,-0.06712,-0.00596,0.00040,-0.99773,0.08001,0.01187,-0.01117,0.99666,1.00,-0.06704,0.02129,-0.00143,-0.99752,0.07966,-0.01540,-0.00969,0.99666,1.00
234,-0.01276,-0.00657,0.01052,-0.99984,-0.06723,-0.00603,0.00041,-0.99772,0.08001,0.01188,-0.01126,0.99666,1.00,-0.06716,0.02123,-0.00143,-0.99752,0.07966,-0.01540,-0.00977,0.99666,1.00
245,-0.01267,-0.00647,0.01050,-0.99984,-0.04176,-0.01000,0.00042,-0.99908,0.05451,0.01603,-0.01105,0.99832,1.00,-0.04174,0.01715,-0.00072,-0.99898,0.05421,-0.01113,-0.01026,0.99841,1.00
257,-0.01265,-0.00641,0.01052,-0.99984,-0.03846,-0.01141,0.00044,-0.99920,0.05121,0.01741,-0.01105,0.99847,1.00,-0.03844,0.01573,-0.00061,-0.99914,0.05092,-0.00973,-0.01035,0.99860,1.00
268,-0.01264,-0.00631,0.01043,-0.99985,-0.03847,-0.01150,0.00044,-0.99919,0.05121,0.01741,-0.01097,0.99848,1.00,-0.03845,0.01564,-0.00060,-0.99914,0.05092,-0.00974,-0.01026,0.99860,1.00
278,-0.01260,-0.00619,0.01024,-0.99985,-0.03687,-0.01220,0.00045,-0.99925,0.04958,0.01802,-0.01075,0.99855,1.00,-0.03685,0.01493,-0.00055,-0.99921,0.04928,-0.00912,-0.01010,0.99869,1.00
290,-0.01244,-0.00602,0.01004,-0.99985,-0.03848,-0.01272,0.00049,-0.99918,0.05103,0.01835,-0.01060,0.99847,1.00,-0.03845,0.01442,-0.00055,-0.99916,0.05074,-0.00880,-0.00989,0.99862,1.00
302,-0.01214,-0.00582,0.00990,-0.99986,-0.03879,-0.01291,0.00050,-0.99916,0.05103,0.01834,-0.01047,0.99847,1.00,-0.03875,0.01423,-0.00055,-0.99915,0.05073,-0.00880,-0.00974,0.99863,1.00
312,-0.01183,-0.00549,0.00981,-0.99987,-0.03746,-0.01262,0.00047,-0.99922,0.04941,0.01774,-0.01033,0.99857,1.00,-0.03743,0.01451,-0.00054,-0.99919,0.04911,-0.00940,-0.00963,0.99870,1.00
323,-0.01152,-0.00513,0.00971,-0.99987,-0.03896,-0.01321,0.00051,-0.99915,0.05059,0.01796,-0.01026,0.99851,1.00,-0.03893,0.01393,-0.00054,-0.99914,0.05030,-0.00919,-0.00952,0.99865,1.00
335,-0.01127,-0.00461,0.00966,-0.99988,-0.03921,-0.01372,0.00054,-0.99914,0.05059,0.01796,-0.01021,0.99851,1.00,-0.03917,0.01342,-0.00053,-0.99914,0.05030,-0.00919,-0.00945,0.99865,1.00
346,-0.01103,-0.00418,0.00966,-0.99988,-0.03914,-0.01385,0.00054,-0.99914,0.05028,0.01765,-0.01021,0.99853,1.00,-0.03911,0.01329,-0.00052,-0.99915,0.05000,-0.00950,-0.00944,0.99866,1.00
357,-0.01083,-0.00372,0.00972,-0.99989,-0.03938,-0.01396,0.00055,-0.99913,0.05033,0.01731,-0.01026,0.99853,1.00,-0.03937,0.01317,-0.00052,-0.99914,0.05006,-0.00984,-0.00948,0.99865,1.00
368,-0.01058,-0.00331,0.00972,-0.99989,-0.03962,-0.01438,0.00057,-0.99911,0.05033,0.01731,-0.01026,0.99853,1.00,-0.03961,0.01276,-0.00051,-0.99913,0.05006,-0.00984,-0.00947,0.99865,1.00
379,-0.01040,-0.00296,0.00962,-0.99990,-0.03953,-0.01440,0.00057,-0.99911,0.05005,0.01698,-0.01015,0.99855,1.00,-0.03952,0.01274,-0.00050,-0.99914,0.04978,-0.01017,-0.00936,0.99866,1.00
390,-0.01015,-0.00259,0.00940,-0.99990,-0.03943,-0.01414,0.00056,-0.99912,0.04970,0.01636,-0.00991,0.99858,1.00,-0.03940,0.01300,-0.00051,-0.99914,0.04942,-0.01078,-0.00911,0.99868,1.00
