Time_ms,LeftBlinkWeight,RightBlinkWeight,LeftConfidence,RightConfidence
0,0.00000,0.00000,1.00,1.00
14,0.00000,0.00000,1.00,1.00
27,0.00000,0.00000,1.00,1.00
42,0.00000,0.00000,1.00,1.00
56,0.00000,0.00000,1.00,1.00
70,0.00000,0.00000,1.00,1.00
83,0.00000,0.00000,1.00,1.00
97,0.00000,0.00000,1.00,1.00
112,0.00000,0.00000,1.00,1.00
125,0.00000,0.00000,1.00,1.00
139,0.00000,0.00000,1.00,1.00
153,0.00000,0.00000,1.00,1.00
167,0.00000,0.00000,1.00,1.00
181,0.00000,0.00000,1.00,1.00
195,0.00000,0.00000,1.00,1.00
209,0.00000,0.00000,1.00,1.00
222,0.00000,0.00000,1.00,1.00
237,0.00000,0.00000,1.00,1.00
251,0.00000,0.00000,1.00,1.00
264,0.00000,0.00000,1.00,1.00
279,0.00000,0.00000,1.00,1.00
292,0.00000,0.00000,1.00,1.00
307,0.00000,0.00000,1.00,1.00
320,0.00000,0.00000,1.00,1.00
335,0.00000,0.00000,1.00,1.00
348,0.00000,0.00000,1.00,1.00
362,0.00000,0.00000,1.00,1.00
376,0.00000,0.00000,1.00,1.00
390,0.00000,0.00000,1.00,1.00
405,0.00000,0.00000,1.00,1.00
418,0.00000,0.00000,1.00,1.00
432,0.00000,0.00000,1.00,1.00
446,0.00000,0.00000,1.00,1.00
460,0.00000,0.00000,1.00,1.00
474,0.00000,0.00000,1.00,1.00
488,0.00000,0.00000,1.00,1.00
502,0.00000,0.00000,1.00,1.00
516,0.00000,0.00000,1.00,1.00
529,0.00000,0.00000,1.00,1.00
544,0.00000,0.00000,1.00,1.00
558,0.00000,0.00000,1.00,1.00
572,0.00000,0.00000,1.00,1.00
585,0.00000,0.00000,1.00,1.00
599,0.00000,0.00000,1.00,1.00
613,0.00000,0.00000,1.00,1.00
627,0.00000,0.00000,1.00,1.00
641,0.00000,0.00000,1.00,1.00
655,0.00000,0.00000,1.00,1.00
669,0.00000,0.00000,1.00,1.00
683,0.00000,0.00000,1.00,1.00
697,0.00000,0.00000,1.00,1.00
711,0.00000,0.00000,1.00,1.00
724,0.00000,0.00000,1.00,1.00
739,0.00000,0.00000,1.00,1.00
753,0.00000,0.00000,1.00,1.00
767,0.00000,0.00000,1.00,1.00
780,0.00000,0.00000,1.00,1.00
794,0.00000,0.00000,1.00,1.00
808,0.00000,0.00000,1.00,1.00
822,0.00000,0.00000,1.00,1.00
836,0.00000,0.00000,1.00,1.00
850,0.00000,0.00000,1.00,1.00
864,0.00000,0.00000,1.00,1.00
878,0.00000,0.00000,1.00,1.00
891,0.00000,0.00000,1.00,1.00
906,0.00000,0.00000,1.00,1.00
919,0.00000,0.00000,1.00,1.00
933,0.00000,0.00000,1.00,1.00
947,0.00000,0.00000,1.00,1.00
961,0.00000,0.00000,1.00,1.00
975,0.00000,0.00000,1.00,1.00
989,0.00000,0.00000,1.00,1.00
1003,0.00000,0.00000,1.00,1.00
1017,0.00000,0.00000,1.00,1.00
1031,0.00000,0.00000,1.00,1.00
1045,0.00000,0.00000,1.00,1.00
1058,0.00000,0.00000,1.00,1.00
1073,0.00000,0.00000,1.00,1.00
1086,0.00000,0.00000,1.00,1.00
1100,0.00000,0.00000,1.00,1.00
1114,0.00000,0.00000,1.00,1.00
1128,0.00000,0.00000,1.00,1.00
1143,0.00000,0.00000,1.00,1.00
1156,0.00000,0.00000,1.00,1.00
1170,0.00000,0.00000,1.00,1.00
1184,0.00000,0.00000,1.00,1.00
1198,0.00000,0.00000,1.00,1.00
1212,0.00000,0.00000,1.00,1.00
1226,0.00000,0.00000,1.00,1.00
1240,0.00000,0.00000,1.00,1.00
1253,0.00000,0.00000,1.00,1.00
1267,0.00000,0.00000,1.00,1.00
1281,0.00000,0.00000,1.00,1.00
1294,0.00000,0.00000,1.00,1.00
1309,0.00000,0.00000,1.00,1.00
