Time_ms,HeadRotX,HeadRotY,HeadRotZ,HeadRotW,LeftLocalRotX,LeftLocalRotY,LeftLocalRotZ,LeftLocalRotW,LeftWorldRotX,LeftWorldRotY,LeftWorldRotZ,LeftWorldRotW,LeftConfidence,RightLocalRotX,RightLocalRotY,RightLocalRotZ,RightLocalRotW,RightWorldRotX,RightWorldRotY,RightWorldRotZ,RightWorldRotW,RightConfidence
0,-0.04888,0.01298,-0.04146,0.99786,0.01264,0.00102,-0.00001,0.99992,-0.03623,0.01347,-0.04168,0.99838,1.00,0.01263,-0.02605,0.00033,0.99958,-0.03734,-0.01353,-0.04000,0.99841,1.00
333,-0.04844,0.01121,-0.04149,0.99790,0.00902,0.00202,-0.00002,0.99996,-0.03935,0.01284,-0.04171,0.99827,1.00,0.00902,-0.02505,0.00023,0.99965,-0.04046,-0.01416,-0.04014,0.99827,1.00
342,-0.04847,0.01116,-0.04154,0.99790,0.00904,0.00207,-0.00002,0.99996,-0.03936,0.01284,-0.04176,0.99827,1.00,0.00904,-0.02500,0.00023,0.99965,-0.04046,-0.01416,-0.04019,0.99827,1.00
353,-0.04844,0.01119,-0.04169,0.99789,0.00826,0.00188,-0.00002,0.99996,-0.04012,0.01271,-0.04189,0.99824,1.00,0.00826,-0.02519,0.00021,0.99965,-0.04123,-0.01429,-0.04034,0.99823,1.00
365,-0.04838,0.01133,-0.04203,0.99788,0.00820,0.00172,-0.00001,0.99997,-0.04012,0.01270,-0.04221,0.99822,1.00,0.00822,-0.02535,0.00021,0.99964,-0.04122,-0.01430,-0.04067,0.99822,1.00
376,-0.04838,0.01139,-0.04206,0.99788,0.00820,0.00166,-0.00001,0.99997,-0.04012,0.01270,-0.04224,0.99822,1.00,0.00822,-0.02541,0.00021,0.99964,-0.04122,-0.01431,-0.04070,0.99822,1.00
387,-0.04848,0.01158,-0.04207,0.99787,-0.02100,0.00222,0.00005,0.99978,-0.06933,0.01468,-0.04188,0.99661,1.00,-0.02094,-0.02487,-0.00052,0.99947,-0.07041,-0.01238,-0.04112,0.99659,1.00
398,-0.04851,0.01169,-0.04206,0.99787,-0.02097,0.00211,0.00004,0.99978,-0.06933,0.01468,-0.04187,0.99661,1.00,-0.02091,-0.02498,-0.00052,0.99947,-0.07041,-0.01238,-0.04111,0.99659,1.00
409,-0.04854,0.01185,-0.04199,0.99787,-0.02093,0.00196,0.00004,0.99978,-0.06933,0.01469,-0.04179,0.99661,1.00,-0.02088,-0.02512,-0.00052,0.99947,-0.07041,-0.01238,-0.04103,0.99660,1.00
420,-0.04838,0.01221,-0.04208,0.99787,-0.02115,0.00219,0.00005,0.99977,-0.06938,0.01529,-0.04188,0.99659,1.00,-0.02111,-0.02490,-0.00053,0.99947,-0.07047,-0.01178,-0.04112,0.99660,1.00
431,-0.04822,0.01250,-0.04232,0.99786,-0.02130,0.00187,0.00004,0.99977,-0.06938,0.01527,-0.04209,0.99658,1.00,-0.02125,-0.02521,-0.00054,0.99946,-0.07047,-0.01179,-0.04135,0.99659,1.00
442,-0.04806,0.01279,-0.04253,0.99786,-0.02145,0.00156,0.00003,0.99977,-0.06939,0.01526,-0.04229,0.99658,1.00,-0.02139,-0.02553,-0.00055,0.99945,-0.07047,-0.01181,-0.04155,0.99658,1.00
453,-0.04788,0.01313,-0.04264,0.99786,-0.02103,0.00292,0.00006,0.99977,-0.06872,0.01694,-0.04243,0.99659,1.00,-0.02097,-0.02416,-0.00051,0.99949,-0.06982,-0.01012,-0.04169,0.99664,1.00
464,-0.04787,0.01343,-0.04273,0.99785,-0.02103,0.00262,0.00006,0.99978,-0.06873,0.01694,-0.04251,0.99659,1.00,-0.02097,-0.02447,-0.00051,0.99948,-0.06982,-0.01013,-0.04177,0.99663,1.00
476,-0.04780,0.01375,-0.04264,0.99785,-0.02108,0.00230,0.00005,0.99978,-0.06872,0.01695,-0.04240,0.99659,1.00,-0.02103,-0.02479,-0.00052,0.99947,-0.06982,-0.01012,-0.04166,0.99664,1.00
487,-0.04773,0.01411,-0.04271,0.99785,-0.02087,0.00274,0.00006,0.99978,-0.06843,0.01773,-0.04248,0.99659,1.00,-0.02084,-0.02435,-0.00051,0.99949,-0.06954,-0.00933,-0.04174,0.99666,1.00
498,-0.04755,0.01445,-0.04280,0.99785,-0.02104,0.00238,0.00005,0.99978,-0.06843,0.01773,-0.04255,0.99659,1.00,-0.02099,-0.02471,-0.00052,0.99947,-0.06954,-0.00934,-0.04182,0.99666,1.00
