Time_ms,TargetRotX,TargetRotY,HeadRotX,HeadRotY,HeadRotZ,HeadRotW,LeftLocalRotX,LeftLocalRotY,LeftLocalRotZ,LeftLocalRotW,LeftWorldRotX,LeftWorldRotY,LeftWorldRotZ,LeftWorldRotW,LeftConfidence,RightLocalRotX,RightLocalRotY,RightLocalRotZ,RightLocalRotW,RightWorldRotX,RightWorldRotY,RightWorldRotZ,RightWorldRotW,RightConfidence
0,0.00,0.00,-0.02629,0.01387,-0.04021,0.99875,-0.01575,0.00109,0.00002,0.99988,-0.04198,0.01559,-0.04000,0.99820,1.00,-0.01574,-0.02598,-0.00041,0.99954,-0.04305,-0.01147,-0.03970,0.99822,1.00
11,0.00,0.00,-0.02620,0.01377,-0.04014,0.99876,-0.01259,0.00157,0.00002,0.99992,-0.03871,0.01584,-0.03999,0.99832,1.00,-0.01258,-0.02550,-0.00032,0.99960,-0.03979,-0.01121,-0.03960,0.99836,1.00
22,0.00,0.00,-0.02611,0.01365,-0.04014,0.99876,-0.01269,0.00169,0.00002,0.99992,-0.03871,0.01584,-0.03999,0.99832,1.00,-0.01268,-0.02538,-0.00032,0.99960,-0.03979,-0.01121,-0.03961,0.99836,1.00
33,0.00,0.00,-0.02597,0.01354,-0.04012,0.99877,-0.01280,0.00129,0.00002,0.99992,-0.03869,0.01534,-0.03996,0.99833,1.00,-0.01278,-0.02578,-0.00033,0.99959,-0.03976,-0.01171,-0.03959,0.99836,1.00
44,0.00,0.00,-0.02581,0.01346,-0.04009,0.99877,-0.01296,0.00137,0.00002,0.99992,-0.03869,0.01535,-0.03993,0.99834,1.00,-0.01295,-0.02570,-0.00033,0.99959,-0.03976,-0.01171,-0.03957,0.99836,1.00
56,0.00,0.00,-0.02560,0.01338,-0.04007,0.99878,-0.01317,0.00144,0.00002,0.99991,-0.03869,0.01535,-0.03991,0.99834,1.00,-0.01316,-0.02563,-0.00034,0.99959,-0.03976,-0.01171,-0.03956,0.99836,1.00
67,0.00,0.00,-0.02547,0.01330,-0.04002,0.99879,-0.01330,0.00152,0.00002,0.99991,-0.03869,0.01535,-0.03986,0.99834,1.00,-0.01329,-0.02556,-0.00034,0.99959,-0.03976,-0.01171,-0.03952,0.99836,1.00
78,0.00,0.00,-0.02538,0.01330,-0.04001,0.99879,-0.01401,0.00217,0.00003,0.99990,-0.03928,0.01603,-0.03985,0.99830,1.00,-0.01400,-0.02490,-0.00035,0.99959,-0.04035,-0.01103,-0.03953,0.99834,1.00
89,0.00,0.00,-0.02530,0.01328,-0.03995,0.99879,-0.01408,0.00219,0.00003,0.99990,-0.03928,0.01603,-0.03978,0.99831,1.00,-0.01407,-0.02488,-0.00035,0.99959,-0.04035,-0.01103,-0.03946,0.99835,1.00
100,0.00,0.00,-0.02518,0.01325,-0.03993,0.99880,-0.01430,0.00034,0.00000,0.99990,-0.03944,0.01416,-0.03974,0.99833,1.00,-0.01428,-0.02673,-0.00038,0.99954,-0.04050,-0.01289,-0.03943,0.99832,1.00
111,0.00,0.00,-0.02518,0.01322,-0.03988,0.99880,-0.01429,0.00037,0.00001,0.99990,-0.03944,0.01416,-0.03969,0.99833,1.00,-0.01428,-0.02670,-0.00038,0.99954,-0.04050,-0.01289,-0.03938,0.99832,1.00
123,0.00,0.00,-0.02517,0.01320,-0.03980,0.99880,-0.01431,0.00040,0.00001,0.99990,-0.03944,0.01417,-0.03961,0.99834,1.00,-0.01429,-0.02668,-0.00038,0.99954,-0.04050,-0.01289,-0.03930,0.99832,1.00
134,0.00,0.00,-0.02519,0.01315,-0.03971,0.99881,-0.01402,0.00187,0.00003,0.99990,-0.03911,0.01557,-0.03955,0.99833,1.00,-0.01401,-0.02521,-0.00035,0.99958,-0.04018,-0.01149,-0.03923,0.99836,1.00
145,0.00,0.00,-0.02521,0.01321,-0.03963,0.99881,-0.01399,0.00181,0.00003,0.99990,-0.03911,0.01557,-0.03947,0.99833,1.00,-0.01399,-0.02527,-0.00035,0.99958,-0.04018,-0.01149,-0.03915,0.99836,1.00
156,0.00,0.00,-0.02516,0.01332,-0.03954,0.99881,-0.01404,0.00170,0.00002,0.99990,-0.03911,0.01557,-0.03937,0.99834,1.00,-0.01404,-0.02538,-0.00036,0.99958,-0.04018,-0.01148,-0.03905,0.99836,1.00
167,0.00,0.00,-0.02488,0.01355,-0.03953,0.99882,-0.01362,-0.00141,-0.00002,0.99991,-0.03853,0.01268,-0.03932,0.99840,1.00,-0.01361,-0.02848,-0.00039,0.99950,-0.03959,-0.01437,-0.03900,0.99835,1.00
179,0.00,0.00,-0.02444,0.01391,-0.03962,0.99882,-0.01404,-0.00179,-0.00003,0.99990,-0.03854,0.01268,-0.03940,0.99840,1.00,-0.01403,-0.02886,-0.00041,0.99949,-0.03958,-0.01438,-0.03911,0.99835,1.00
189,0.00,0.00,-0.02404,0.01424,-0.03981,0.99882,-0.01443,-0.00215,-0.00003,0.99989,-0.03854,0.01267,-0.03958,0.99839,1.00,-0.01440,-0.02922,-0.00042,0.99947,-0.03958,-0.01438,-0.03930,0.99834,1.00
201,0.00,0.00,-0.02362,0.01457,-0.03991,0.99882,-0.01446,-0.00011,0.00000,0.99990,-0.03806,0.01504,-0.03969,0.99837,1.00,-0.01442,-0.02718,-0.00039,0.99953,-0.03910,-0.01202,-0.03943,0.99838,1.00
212,0.00,0.00,-0.02318,0.01487,-0.03998,0.99882,-0.01488,-0.00043,-0.00001,0.99989,-0.03806,0.01504,-0.03975,0.99837,1.00,-0.01484,-0.02750,-0.00041,0.99951,-0.03910,-0.01202,-0.03951,0.99838,1.00
223,0.00,0.00,-0.02284,0.01516,-0.03998,0.99882,-0.01521,-0.00072,-0.00001,0.99988,-0.03806,0.01504,-0.03974,0.99837,1.00,-0.01517,-0.02780,-0.00042,0.99950,-0.03910,-0.01202,-0.03952,0.99838,1.00
234,0.00,0.00,-0.02261,0.01551,-0.04008,0.99882,-0.01697,-0.00578,-0.00010,0.99984,-0.03979,0.01041,-0.03977,0.99836,1.00,-0.01692,-0.03284,-0.00056,0.99932,-0.04082,-0.01664,-0.03960,0.99824,1.00
245,0.00,0.00,-0.02246,0.01580,-0.04010,0.99882,-0.01711,-0.00608,-0.00010,0.99984,-0.03979,0.01041,-0.03979,0.99836,1.00,-0.01706,-0.03315,-0.00057,0.99930,-0.04082,-0.01664,-0.03962,0.99824,1.00
256,0.00,0.00,-0.02228,0.01612,-0.04020,0.99881,-0.01727,-0.00641,-0.00011,0.99983,-0.03979,0.01041,-0.03988,0.99836,1.00,-0.01721,-0.03348,-0.00058,0.99929,-0.04081,-0.01665,-0.03972,0.99824,1.00
268,0.00,0.00,-0.02223,0.01639,-0.04030,0.99881,-0.01732,-0.00668,-0.00012,0.99983,-0.03979,0.01040,-0.03998,0.99835,1.00,-0.01725,-0.03375,-0.00058,0.99928,-0.04081,-0.01665,-0.03982,0.99823,1.00
279,0.00,0.00,-0.02234,0.01655,-0.04030,0.99880,-0.06702,-0.01288,-0.00087,0.99767,-0.08976,0.00634,-0.03967,0.99515,1.00,-0.06678,-0.04009,-0.00269,0.99696,-0.09063,-0.02091,-0.04086,0.99483,1.00
