Time_ms,LeftBlinkWeight,RightBlinkWeight,LeftConfidence,RightConfidence
0,0.00000,0.00000,1.00,1.00
15,0.00000,0.00000,1.00,1.00
28,0.00000,0.00000,1.00,1.00
42,0.00000,0.00000,1.00,1.00
56,0.00000,0.00000,1.00,1.00
70,0.00000,0.00000,1.00,1.00
84,0.00000,0.00000,1.00,1.00
98,0.00000,0.00000,1.00,1.00
112,0.00000,0.00000,1.00,1.00
126,0.00000,0.00000,1.00,1.00
140,0.00000,0.00000,1.00,1.00
154,0.00000,0.00000,1.00,1.00
167,0.00000,0.00000,1.00,1.00
182,0.00000,0.00000,1.00,1.00
195,0.00000,0.00000,1.00,1.00
209,0.00000,0.00000,1.00,1.00
223,0.00000,0.00000,1.00,1.00
237,0.00000,0.00000,1.00,1.00
251,0.00000,0.00000,1.00,1.00
265,0.00229,0.10137,1.00,1.00
279,0.00229,0.10137,1.00,1.00
293,0.00229,0.10137,1.00,1.00
307,0.83890,0.77009,1.00,1.00
321,0.83890,0.77009,1.00,1.00
335,0.32249,0.30892,1.00,1.00
349,0.32249,0.30892,1.00,1.00
363,0.02168,0.09554,1.00,1.00
376,0.02168,0.09554,1.00,1.00
391,0.02168,0.09554,1.00,1.00
405,0.06944,0.10475,1.00,1.00
419,0.06944,0.10475,1.00,1.00
433,0.00478,0.05014,1.00,1.00
447,0.00478,0.05014,1.00,1.00
461,0.00039,0.01863,1.00,1.00
474,0.00039,0.01863,1.00,1.00
489,0.00039,0.01863,1.00,1.00
502,0.00004,0.00161,1.00,1.00
517,0.00004,0.00161,1.00,1.00
530,0.00000,0.00016,1.00,1.00
544,0.00000,0.00016,1.00,1.00
558,0.00000,0.00016,1.00,1.00
572,0.00000,0.00002,1.00,1.00
586,0.00000,0.00002,1.00,1.00
600,0.00000,0.00000,1.00,1.00
614,0.00000,0.00000,1.00,1.00
628,0.00000,0.00000,1.00,1.00
642,0.00000,0.00000,1.00,1.00
656,0.00000,0.00000,1.00,1.00
669,0.00000,0.00000,1.00,1.00
684,0.00000,0.00000,1.00,1.00
697,0.00000,0.00000,1.00,1.00
711,0.00000,0.00000,1.00,1.00
725,0.00000,0.00000,1.00,1.00
739,0.00000,0.00000,1.00,1.00
753,0.00000,0.00000,1.00,1.00
767,0.00000,0.00000,1.00,1.00
781,0.00000,0.00000,1.00,1.00
795,0.00000,0.00000,1.00,1.00
808,0.00000,0.00000,1.00,1.00
823,0.00000,0.00000,1.00,1.00
836,0.00000,0.00000,1.00,1.00
851,0.00000,0.00000,1.00,1.00
864,0.00000,0.00000,1.00,1.00
878,0.00000,0.00000,1.00,1.00
892,0.00000,0.00000,1.00,1.00
906,0.00000,0.00000,1.00,1.00
920,0.00000,0.00000,1.00,1.00
934,0.00000,0.00000,1.00,1.00
948,0.00000,0.00000,1.00,1.00
962,0.00000,0.00000,1.00,1.00
976,0.00000,0.00000,1.00,1.00
990,0.00000,0.00000,1.00,1.00
1003,0.00000,0.00000,1.00,1.00
1018,0.00000,0.00000,1.00,1.00
1031,0.83595,0.73612,1.00,1.00
1045,0.83595,0.73612,1.00,1.00
1059,0.86729,0.78461,1.00,1.00
1073,0.86729,0.78461,1.00,1.00
1087,0.86729,0.78461,1.00,1.00
1101,0.29858,0.23441,1.00,1.00
1115,0.29858,0.23441,1.00,1.00
1129,0.01922,0.02058,1.00,1.00
1143,0.01922,0.02058,1.00,1.00
1157,0.01922,0.02058,1.00,1.00
1170,0.06583,0.10728,1.00,1.00
1185,0.06583,0.10728,1.00,1.00
1198,0.00344,0.04944,1.00,1.00
1212,0.00344,0.04944,1.00,1.00
1226,0.00021,0.01817,1.00,1.00
1240,0.00021,0.01817,1.00,1.00
1254,0.00021,0.01817,1.00,1.00
1268,0.00002,0.00136,1.00,1.00
1282,0.00002,0.00136,1.00,1.00
1296,0.00000,0.00012,1.00,1.00
1310,0.00000,0.00012,1.00,1.00
1324,0.00000,0.00012,1.00,1.00
1338,0.00000,0.00001,1.00,1.00
1352,0.00000,0.00001,1.00,1.00
1366,0.00000,0.00000,1.00,1.00
1380,0.00000,0.00000,1.00,1.00
1393,0.00000,0.00000,1.00,1.00
1407,0.00000,0.00000,1.00,1.00
1421,0.00000,0.00000,1.00,1.00
1435,0.00000,0.00000,1.00,1.00
1449,0.00000,0.00000,1.00,1.00
1463,0.00000,0.00000,1.00,1.00
1477,0.00000,0.00000,1.00,1.00
1491,0.00000,0.00000,1.00,1.00
1505,0.00000,0.00000,1.00,1.00
1519,0.00000,0.00000,1.00,1.00
1533,0.00000,0.00000,1.00,1.00
1547,0.00000,0.00000,1.00,1.00
1560,0.00000,0.00000,1.00,1.00
1574,0.00000,0.00000,1.00,1.00
1589,0.00000,0.00000,1.00,1.00
1602,0.00000,0.00000,1.00,1.00
1617,0.00000,0.00000,1.00,1.00
1630,0.00000,0.00000,1.00,1.00
1644,0.00000,0.00000,1.00,1.00
1658,0.00000,0.00000,1.00,1.00
1671,0.00000,0.00000,1.00,1.00
1686,0.00000,0.00000,1.00,1.00
1699,0.00000,0.00000,1.00,1.00
1714,0.00000,0.00000,1.00,1.00
1727,0.00000,0.00000,1.00,1.00
1741,0.00000,0.00000,1.00,1.00
1756,0.00000,0.00000,1.00,1.00
1769,0.00000,0.00000,1.00,1.00
1784,0.00000,0.00000,1.00,1.00
1797,0.00000,0.00000,1.00,1.00
1811,0.00000,0.00000,1.00,1.00
1825,0.00000,0.00000,1.00,1.00
1839,0.00000,0.00000,1.00,1.00
1853,0.00000,0.00000,1.00,1.00
1867,0.00000,0.00000,1.00,1.00
1881,0.00000,0.00000,1.00,1.00
1895,0.00000,0.00000,1.00,1.00
1908,0.00000,0.00000,1.00,1.00
1923,0.00000,0.00000,1.00,1.00
1936,0.00000,0.00000,1.00,1.00
1951,0.00000,0.00000,1.00,1.00
1964,0.00000,0.00000,1.00,1.00
1978,0.00000,0.00000,1.00,1.00
1992,0.00000,0.00000,1.00,1.00
2006,0.00000,0.00000,1.00,1.00
2020,0.00000,0.00000,1.00,1.00
2034,0.00000,0.00000,1.00,1.00
2048,0.00000,0.00000,1.00,1.00
2061,0.00000,0.00000,1.00,1.00
2075,0.00000,0.00000,1.00,1.00
2090,0.00000,0.00000,1.00,1.00
2103,0.00000,0.00000,1.00,1.00
2118,0.00000,0.00000,1.00,1.00
2131,0.00000,0.00000,1.00,1.00
2145,0.00000,0.00000,1.00,1.00
2159,0.00000,0.00000,1.00,1.00
2173,0.00000,0.00000,1.00,1.00
2187,0.00000,0.00000,1.00,1.00
2201,0.00000,0.00000,1.00,1.00
2215,0.00000,0.00000,1.00,1.00
2229,0.00000,0.00000,1.00,1.00
2242,0.00000,0.00000,1.00,1.00
2257,0.00000,0.00000,1.00,1.00
2270,0.00000,0.00000,1.00,1.00
2285,0.00000,0.00000,1.00,1.00
2298,0.00000,0.00000,1.00,1.00
2312,0.00000,0.00000,1.00,1.00
2326,0.00000,0.00000,1.00,1.00
2340,0.00000,0.00000,1.00,1.00
2354,0.00000,0.00000,1.00,1.00
2368,0.00000,0.00000,1.00,1.00
2382,0.00000,0.00000,1.00,1.00
2396,0.00000,0.00000,1.00,1.00
2409,0.00000,0.00000,1.00,1.00
2424,0.00000,0.00000,1.00,1.00
2437,0.00000,0.00000,1.00,1.00
2452,0.00000,0.00000,1.00,1.00
2465,0.00000,0.00000,1.00,1.00
2479,0.00000,0.00000,1.00,1.00
2493,0.00000,0.00000,1.00,1.00
2507,0.00000,0.00000,1.00,1.00
2521,0.00000,0.00000,1.00,1.00
2535,0.00959,0.03541,1.00,1.00
2549,0.00959,0.03541,1.00,1.00
2563,0.96532,0.92453,1.00,1.00
2576,0.96532,0.92453,1.00,1.00
2591,0.96532,0.92453,1.00,1.00
2604,0.96450,0.96381,1.00,1.00
2619,0.96450,0.96381,1.00,1.00
2632,0.97265,0.98415,1.00,1.00
2647,0.97265,0.98415,1.00,1.00
2660,0.97265,0.98415,1.00,1.00
2674,0.96490,0.96518,1.00,1.00
2688,0.96490,0.96518,1.00,1.00
2702,0.84696,0.84697,1.00,1.00
2716,0.84696,0.84697,1.00,1.00
2730,0.84696,0.84697,1.00,1.00
2743,0.07569,0.15118,1.00,1.00
2757,0.07569,0.15118,1.00,1.00
2771,0.00068,0.08404,1.00,1.00
2785,0.00068,0.08404,1.00,1.00
2799,0.04680,0.06074,1.00,1.00
2813,0.04680,0.06074,1.00,1.00
2827,0.01696,0.01737,1.00,1.00
2841,0.01696,0.01737,1.00,1.00
2855,0.01696,0.01737,1.00,1.00
2869,0.00069,0.00067,1.00,1.00
2883,0.00069,0.00067,1.00,1.00
2897,0.00003,0.00003,1.00,1.00
2911,0.00003,0.00003,1.00,1.00
2925,0.00003,0.00003,1.00,1.00
2938,0.00000,0.00000,1.00,1.00
2953,0.00000,0.00000,1.00,1.00
2966,0.00000,0.00000,1.00,1.00
2980,0.00000,0.00000,1.00,1.00
2994,0.00000,0.00000,1.00,1.00
3008,0.00000,0.00000,1.00,1.00
3022,0.00000,0.00000,1.00,1.00
3036,0.00000,0.00000,1.00,1.00
3050,0.00000,0.00000,1.00,1.00
3064,0.00000,0.00000,1.00,1.00
3078,0.00000,0.00000,1.00,1.00
3092,0.00000,0.00000,1.00,1.00
3105,0.00000,0.00000,1.00,1.00
3120,0.00000,0.00000,1.00,1.00
3133,0.00000,0.00000,1.00,1.00
3148,0.00000,0.00000,1.00,1.00
3161,0.00000,0.00000,1.00,1.00
3175,0.00000,0.00000,1.00,1.00
3189,0.00000,0.00000,1.00,1.00
3203,0.00000,0.00000,1.00,1.00
3217,0.00000,0.00000,1.00,1.00
3231,0.00000,0.00000,1.00,1.00
3245,0.00000,0.00000,1.00,1.00
3259,0.00000,0.00000,1.00,1.00
3272,0.00000,0.00000,1.00,1.00
3287,0.00000,0.00000,1.00,1.00
3300,0.00000,0.00000,1.00,1.00
3315,0.00000,0.00000,1.00,1.00
3328,0.00000,0.00000,1.00,1.00
3342,0.00000,0.00000,1.00,1.00
3357,0.00000,0.00000,1.00,1.00
3370,0.00000,0.00000,1.00,1.00
3384,0.00000,0.00000,1.00,1.00
3398,0.00000,0.00000,1.00,1.00
3412,0.00000,0.00000,1.00,1.00
3426,0.00000,0.00000,1.00,1.00
3439,0.00000,0.00000,1.00,1.00
3454,0.00000,0.00000,1.00,1.00
3467,0.00000,0.00000,1.00,1.00
3482,0.00000,0.00000,1.00,1.00
3495,0.00000,0.00000,1.00,1.00
3509,0.00000,0.00000,1.00,1.00
3523,0.00000,0.00000,1.00,1.00
3537,0.00000,0.00000,1.00,1.00
3552,0.00000,0.00000,1.00,1.00
3565,0.00000,0.00000,1.00,1.00
3579,0.00000,0.00000,1.00,1.00
3593,0.00000,0.00000,1.00,1.00
3606,0.00000,0.00000,1.00,1.00
3621,0.00000,0.00000,1.00,1.00
3634,0.00000,0.00000,1.00,1.00
3649,0.00000,0.00000,1.00,1.00
3662,0.00000,0.00000,1.00,1.00
3676,0.00000,0.00000,1.00,1.00
3691,0.00000,0.00000,1.00,1.00
3704,0.00000,0.00000,1.00,1.00
3718,0.00000,0.00000,1.00,1.00
3732,0.00000,0.00000,1.00,1.00
3746,0.00000,0.00000,1.00,1.00
3760,0.00000,0.00000,1.00,1.00
3773,0.00000,0.00000,1.00,1.00
3788,0.00000,0.00000,1.00,1.00
3801,0.00000,0.00000,1.00,1.00
3816,0.00000,0.00000,1.00,1.00
3829,0.00000,0.00000,1.00,1.00
3843,0.00000,0.00000,1.00,1.00
3857,0.00000,0.00000,1.00,1.00
3871,0.00000,0.00000,1.00,1.00
3885,0.00000,0.00000,1.00,1.00
3899,0.00000,0.00000,1.00,1.00
3913,0.00000,0.00000,1.00,1.00
3927,0.83604,0.69514,1.00,1.00
3940,0.83604,0.69514,1.00,1.00
3955,0.83604,0.69514,1.00,1.00
3968,0.93880,0.93654,1.00,1.00
3983,0.93880,0.93654,1.00,1.00
3996,0.98952,0.99851,1.00,1.00
4010,0.98952,0.99851,1.00,1.00
4025,0.98952,0.99851,1.00,1.00
4038,0.96174,0.94476,1.00,1.00
4052,0.96174,0.94476,1.00,1.00
4066,0.80008,0.78812,1.00,1.00
4080,0.80008,0.78812,1.00,1.00
4094,0.02781,0.13486,1.00,1.00
4107,0.02781,0.13486,1.00,1.00
4122,0.02781,0.13486,1.00,1.00
4136,0.07549,0.15413,1.00,1.00
4150,0.07549,0.15413,1.00,1.00
4164,0.01774,0.06021,1.00,1.00
4177,0.01774,0.06021,1.00,1.00
4191,0.01774,0.06021,1.00,1.00
4205,0.00064,0.00207,1.00,1.00
4219,0.00064,0.00207,1.00,1.00
4233,0.00003,0.00009,1.00,1.00
4247,0.00003,0.00009,1.00,1.00
4261,0.00000,0.00000,1.00,1.00
4275,0.00000,0.00000,1.00,1.00
4289,0.00000,0.00000,1.00,1.00
4303,0.00000,0.00000,1.00,1.00
4317,0.00000,0.00000,1.00,1.00
4331,0.00000,0.00000,1.00,1.00
4344,0.00000,0.00000,1.00,1.00
4358,0.00000,0.00000,1.00,1.00
