Time_ms,HeadRotX,HeadRotY,HeadRotZ,HeadRotW,LeftLocalRotX,LeftLocalRotY,LeftLocalRotZ,LeftLocalRotW,LeftWorldRotX,LeftWorldRotY,LeftWorldRotZ,LeftWorldRotW,LeftConfidence,RightLocalRotX,RightLocalRotY,RightLocalRotZ,RightLocalRotW,RightWorldRotX,RightWorldRotY,RightWorldRotZ,RightWorldRotW,RightConfidence
0,0.05344,0.05958,-0.03783,0.99607,0.03006,-0.02279,0.00069,0.99929,0.08252,0.03566,-0.04013,0.99514,1.00,0.02993,-0.04982,0.00149,0.99831,0.08136,0.00865,-0.04073,0.99581,1.00
333,0.05082,0.05950,-0.03864,0.99618,0.04089,-0.03811,0.00156,0.99844,0.09009,0.01978,-0.04139,0.99488,1.00,0.04060,-0.06507,0.00265,0.99705,0.08876,-0.00720,-0.04161,0.99516,1.00
347,0.05076,0.05944,-0.03852,0.99620,0.04053,-0.03825,0.00155,0.99844,0.08968,0.01961,-0.04127,0.99492,1.00,0.04024,-0.06521,0.00263,0.99706,0.08833,-0.00738,-0.04149,0.99520,1.00
361,0.05086,0.05942,-0.03854,0.99619,0.04043,-0.03823,0.00155,0.99845,0.08968,0.01961,-0.04129,0.99492,1.00,0.04013,-0.06519,0.00262,0.99706,0.08833,-0.00737,-0.04151,0.99520,1.00
375,0.05098,0.05930,-0.03852,0.99619,0.04010,-0.03829,0.00154,0.99846,0.08946,0.01944,-0.04126,0.99495,1.00,0.03981,-0.06525,0.00260,0.99707,0.08813,-0.00754,-0.04150,0.99522,1.00
389,0.05100,0.05903,-0.03853,0.99621,0.04007,-0.03802,0.00153,0.99847,0.08946,0.01944,-0.04126,0.99495,1.00,0.03978,-0.06498,0.00259,0.99709,0.08813,-0.00754,-0.04150,0.99522,1.00
403,0.05068,0.05855,-0.03852,0.99625,0.04037,-0.03754,0.00152,0.99848,0.08946,0.01944,-0.04122,0.99495,1.00,0.04007,-0.06450,0.00259,0.99711,0.08813,-0.00755,-0.04144,0.99522,1.00
417,0.05010,0.05800,-0.03847,0.99632,0.04061,-0.03556,0.00145,0.99854,0.08920,0.02086,-0.04111,0.99495,1.00,0.04033,-0.06253,0.00253,0.99722,0.08788,-0.00614,-0.04131,0.99526,1.00
431,0.04929,0.05725,-0.03826,0.99641,0.04139,-0.03481,0.00144,0.99854,0.08921,0.02083,-0.04085,0.99496,1.00,0.04109,-0.06178,0.00255,0.99724,0.08788,-0.00616,-0.04101,0.99527,1.00
445,0.04845,0.05651,-0.03802,0.99650,0.04187,-0.03476,0.00146,0.99852,0.08887,0.02012,-0.04056,0.99501,1.00,0.04157,-0.06174,0.00257,0.99722,0.08754,-0.00688,-0.04069,0.99531,1.00
459,0.04804,0.05575,-0.03764,0.99658,0.04225,-0.03404,0.00144,0.99853,0.08888,0.02008,-0.04014,0.99503,1.00,0.04192,-0.06102,0.00257,0.99725,0.08754,-0.00692,-0.04025,0.99532,1.00
473,0.04795,0.05507,-0.03720,0.99664,0.04232,-0.03342,0.00142,0.99854,0.08889,0.02004,-0.03967,0.99505,1.00,0.04196,-0.06040,0.00254,0.99729,0.08753,-0.00696,-0.03977,0.99534,1.00
487,0.04797,0.05434,-0.03670,0.99669,0.04105,-0.03257,0.00134,0.99863,0.08770,0.02023,-0.03911,0.99517,1.00,0.04070,-0.05956,0.00243,0.99739,0.08636,-0.00678,-0.03925,0.99547,1.00
501,0.04805,0.05358,-0.03604,0.99676,0.04094,-0.03191,0.00131,0.99865,0.08771,0.02016,-0.03841,0.99520,1.00,0.04055,-0.05890,0.00239,0.99744,0.08635,-0.00684,-0.03856,0.99549,1.00
