Time_ms,TargetRotX,TargetRotY,HeadRotX,HeadRotY,HeadRotZ,HeadRotW,LeftLocalRotX,LeftLocalRotY,LeftLocalRotZ,LeftLocalRotW,LeftWorldRotX,LeftWorldRotY,LeftWorldRotZ,LeftWorldRotW,LeftConfidence,RightLocalRotX,RightLocalRotY,RightLocalRotZ,RightLocalRotW,RightWorldRotX,RightWorldRotY,RightWorldRotZ,RightWorldRotW,RightConfidence
0,0.00,0.00,-0.00033,0.02457,-0.02879,0.99928,-0.06271,-0.01072,-0.00067,0.99797,-0.06332,0.01561,-0.02786,0.99748,1.00,-0.06251,-0.03792,-0.00238,0.99732,-0.06395,-0.01159,-0.02954,0.99745,1.00
11,0.00,0.00,-0.00037,0.02455,-0.02876,0.99928,-0.06267,-0.01070,-0.00067,0.99798,-0.06332,0.01561,-0.02783,0.99748,1.00,-0.06247,-0.03789,-0.00237,0.99732,-0.06395,-0.01158,-0.02951,0.99745,1.00
23,0.00,0.00,-0.00036,0.02458,-0.02872,0.99929,-0.06269,-0.01072,-0.00067,0.99798,-0.06332,0.01562,-0.02779,0.99748,1.00,-0.06249,-0.03791,-0.00238,0.99732,-0.06395,-0.01158,-0.02946,0.99745,1.00
33,0.00,0.00,-0.00032,0.02466,-0.02866,0.99929,-0.05957,-0.00867,-0.00052,0.99819,-0.06011,0.01766,-0.02765,0.99765,1.00,-0.05940,-0.03585,-0.00213,0.99759,-0.06076,-0.00953,-0.02924,0.99768,1.00
45,0.00,0.00,-0.00021,0.02473,-0.02870,0.99928,-0.05968,-0.00875,-0.00052,0.99818,-0.06011,0.01766,-0.02770,0.99765,1.00,-0.05950,-0.03594,-0.00214,0.99758,-0.06076,-0.00953,-0.02930,0.99768,1.00
56,0.00,0.00,-0.00010,0.02487,-0.02876,0.99928,-0.05711,-0.00892,-0.00051,0.99833,-0.05744,0.01755,-0.02780,0.99781,1.00,-0.05694,-0.03610,-0.00206,0.99772,-0.05808,-0.00962,-0.02933,0.99783,1.00
67,0.00,0.00,-0.00001,0.02499,-0.02886,0.99927,-0.05720,-0.00906,-0.00052,0.99832,-0.05744,0.01755,-0.02790,0.99780,1.00,-0.05702,-0.03623,-0.00207,0.99771,-0.05808,-0.00963,-0.02944,0.99783,1.00
78,0.00,0.00,0.00011,0.02511,-0.02898,0.99926,-0.05732,-0.00920,-0.00053,0.99831,-0.05744,0.01754,-0.02802,0.99780,1.00,-0.05713,-0.03637,-0.00208,0.99770,-0.05808,-0.00964,-0.02956,0.99783,1.00
89,0.00,0.00,0.00021,0.02527,-0.02906,0.99926,-0.05528,-0.01110,-0.00061,0.99841,-0.05536,0.01575,-0.02823,0.99794,1.00,-0.05508,-0.03826,-0.00211,0.99775,-0.05600,-0.01141,-0.02972,0.99792,1.00
100,0.00,0.00,0.00039,0.02538,-0.02917,0.99925,-0.05546,-0.01122,-0.00062,0.99840,-0.05537,0.01574,-0.02834,0.99794,1.00,-0.05526,-0.03838,-0.00213,0.99773,-0.05600,-0.01142,-0.02984,0.99792,1.00
112,0.00,0.00,0.00050,0.02557,-0.02934,0.99924,-0.05556,-0.01143,-0.00064,0.99839,-0.05537,0.01573,-0.02851,0.99793,1.00,-0.05535,-0.03859,-0.00214,0.99772,-0.05599,-0.01143,-0.03001,0.99791,1.00
123,0.00,0.00,0.00063,0.02566,-0.02963,0.99923,-0.05740,-0.01122,-0.00065,0.99829,-0.05708,0.01610,-0.02876,0.99783,1.00,-0.05718,-0.03839,-0.00220,0.99762,-0.05770,-0.01107,-0.03032,0.99781,1.00
134,0.00,0.00,0.00073,0.02585,-0.02991,0.99922,-0.05750,-0.01145,-0.00066,0.99828,-0.05709,0.01609,-0.02904,0.99782,1.00,-0.05726,-0.03862,-0.00222,0.99761,-0.05770,-0.01108,-0.03060,0.99780,1.00
145,0.00,0.00,0.00072,0.02595,-0.03013,0.99921,-0.05749,-0.01158,-0.00067,0.99828,-0.05709,0.01607,-0.02926,0.99781,1.00,-0.05724,-0.03875,-0.00222,0.99761,-0.05770,-0.01110,-0.03082,0.99780,1.00
156,0.00,0.00,0.00067,0.02600,-0.03027,0.99920,-0.05617,-0.01118,-0.00063,0.99836,-0.05581,0.01649,-0.02939,0.99787,1.00,-0.05595,-0.03834,-0.00215,0.99770,-0.05645,-0.01068,-0.03092,0.99787,1.00
