Time_ms,LeftBlinkWeight,RightBlinkWeight,LeftConfidence,RightConfidence
17612,0.00000,0.00000,1.00,1.00
17945,0.07667,0.07873,1.00,1.00
17959,0.07667,0.07873,1.00,1.00
17972,0.01511,0.03076,1.00,1.00
17987,0.01511,0.03076,1.00,1.00
18000,0.00109,0.01237,1.00,1.00
18014,0.00109,0.01237,1.00,1.00
18029,0.00109,0.01237,1.00,1.00
18042,0.00009,0.00103,1.00,1.00
18056,0.00009,0.00103,1.00,1.00
18070,0.00001,0.00010,1.00,1.00
18084,0.00001,0.00010,1.00,1.00
18098,0.00000,0.00001,1.00,1.00
18112,0.00000,0.00001,1.00,1.00
18127,0.00000,0.00001,1.00,1.00
18140,0.00000,0.00000,1.00,1.00
18155,0.00000,0.00000,1.00,1.00
18168,0.00000,0.00000,1.00,1.00
18182,0.00000,0.00000,1.00,1.00
18196,0.00000,0.00000,1.00,1.00
18210,0.00000,0.00000,1.00,1.00
18224,0.00000,0.00000,1.00,1.00
18238,0.00000,0.00000,1.00,1.00
18252,0.00000,0.00000,1.00,1.00
18266,0.00000,0.01300,1.00,1.00
18279,0.00000,0.01300,1.00,1.00
18294,0.00000,0.01300,1.00,1.00
18307,0.74624,0.71917,1.00,1.00
18322,0.74624,0.71917,1.00,1.00
18335,0.33812,0.32898,1.00,1.00
18349,0.33812,0.32898,1.00,1.00
18363,0.33812,0.32898,1.00,1.00
18377,0.13672,0.12294,1.00,1.00
18391,0.13672,0.12294,1.00,1.00
18405,0.02087,0.04613,1.00,1.00
18419,0.02087,0.04613,1.00,1.00
18433,0.00183,0.01412,1.00,1.00
18447,0.00183,0.01412,1.00,1.00
18461,0.00183,0.01412,1.00,1.00
18474,0.00019,0.00142,1.00,1.00
18489,0.00019,0.00142,1.00,1.00
18502,0.00002,0.00017,1.00,1.00
18516,0.00002,0.00017,1.00,1.00
18531,0.00002,0.00017,1.00,1.00
18544,0.00000,0.00002,1.00,1.00
18558,0.00000,0.00002,1.00,1.00
18572,0.00000,0.00000,1.00,1.00
18586,0.00000,0.00000,1.00,1.00
18600,0.00000,0.00000,1.00,1.00
18614,0.00000,0.00000,1.00,1.00
18628,0.00000,0.00000,1.00,1.00
18641,0.00000,0.00000,1.00,1.00
18656,0.00000,0.00000,1.00,1.00
18670,0.00000,0.00000,1.00,1.00
18683,0.00000,0.00000,1.00,1.00
18697,0.00000,0.00000,1.00,1.00
18711,0.00000,0.00000,1.00,1.00
18726,0.00000,0.00000,1.00,1.00
18739,0.00000,0.00000,1.00,1.00
18753,0.00000,0.00000,1.00,1.00
18767,0.00000,0.00000,1.00,1.00
18781,0.00000,0.00000,1.00,1.00
18795,0.00000,0.00000,1.00,1.00
18808,0.00000,0.00000,1.00,1.00
18823,0.00000,0.00000,1.00,1.00
18837,0.00000,0.00000,1.00,1.00
18850,0.00000,0.00000,1.00,1.00
18864,0.00000,0.00000,1.00,1.00
18878,0.00000,0.00000,1.00,1.00
18892,0.00000,0.00000,1.00,1.00
18906,0.00000,0.00000,1.00,1.00
18921,0.00000,0.00000,1.00,1.00
18934,0.00000,0.00000,1.00,1.00
18948,0.00000,0.00000,1.00,1.00
18962,0.00000,0.00000,1.00,1.00
