Time_ms,TargetRotX,TargetRotY,LeftRotX,LeftRotY,LeftRotZ,LeftRotW,LeftConfidence,RightRotX,RightRotY,RightRotZ,RightRotW,RightConfidence
77178,0.00,0.00,-0.02751,-0.01341,-0.03642,0.99887,1.00,-0.02819,-0.04047,-0.03900,0.99802,1.00
77192,0.00,0.00,-0.02666,-0.01334,-0.03640,0.99889,1.00,-0.02734,-0.04039,-0.03894,0.99805,1.00
77206,0.00,0.00,-0.02666,-0.01334,-0.03666,0.99888,1.00,-0.02732,-0.04040,-0.03920,0.99804,1.00
77220,0.00,0.00,-0.02665,-0.01335,-0.03676,0.99888,1.00,-0.02732,-0.04040,-0.03931,0.99804,1.00
77234,0.00,0.00,-0.02707,-0.01088,-0.03644,0.99891,1.00,-0.02776,-0.03795,-0.03901,0.99813,1.00
77247,0.00,0.00,-0.02708,-0.01088,-0.03628,0.99892,1.00,-0.02777,-0.03795,-0.03885,0.99814,1.00
77261,0.00,0.00,-0.02642,-0.01063,-0.03627,0.99894,1.00,-0.02713,-0.03769,-0.03882,0.99817,1.00
77275,0.00,0.00,-0.02642,-0.01063,-0.03628,0.99894,1.00,-0.02712,-0.03769,-0.03883,0.99817,1.00
77289,0.00,0.00,-0.02739,-0.01109,-0.03631,0.99890,1.00,-0.02809,-0.03815,-0.03889,0.99812,1.00
77303,0.00,0.00,-0.02739,-0.01109,-0.03637,0.99890,1.00,-0.02808,-0.03816,-0.03896,0.99812,1.00
77318,0.00,0.00,-0.02739,-0.01109,-0.03638,0.99890,1.00,-0.02808,-0.03816,-0.03897,0.99812,1.00
77331,0.00,0.00,-0.02798,-0.01252,-0.03661,0.99886,1.00,-0.02865,-0.03959,-0.03921,0.99804,1.00
77345,0.00,0.00,-0.02798,-0.01253,-0.03668,0.99886,1.00,-0.02865,-0.03959,-0.03928,0.99803,1.00
77360,0.00,0.00,-0.03016,-0.01258,-0.03672,0.99879,1.00,-0.03083,-0.03966,-0.03937,0.99796,1.00
77373,0.00,0.00,-0.03016,-0.01258,-0.03671,0.99879,1.00,-0.03083,-0.03966,-0.03936,0.99796,1.00
77387,0.00,0.00,-0.03016,-0.01258,-0.03669,0.99879,1.00,-0.03083,-0.03965,-0.03933,0.99796,1.00
77401,0.00,0.00,-0.03024,-0.01261,-0.03667,0.99879,1.00,-0.03091,-0.03968,-0.03931,0.99796,1.00
77415,0.00,0.00,-0.03024,-0.01261,-0.03670,0.99879,1.00,-0.03091,-0.03968,-0.03934,0.99796,1.00
77429,0.00,0.00,-0.02769,-0.01649,-0.03710,0.99879,1.00,-0.02834,-0.04354,-0.03965,0.99786,1.00
77442,0.00,0.00,-0.02769,-0.01650,-0.03712,0.99879,1.00,-0.02834,-0.04354,-0.03967,0.99786,1.00
77457,0.00,0.00,-0.00911,-0.01203,-0.03640,0.99922,1.00,-0.00989,-0.03903,-0.03846,0.99845,1.00
77470,0.00,0.00,-0.00911,-0.01203,-0.03639,0.99922,1.00,-0.00989,-0.03903,-0.03845,0.99845,1.00
77485,0.00,0.00,-0.00911,-0.01203,-0.03631,0.99923,1.00,-0.00989,-0.03903,-0.03837,0.99845,1.00
77498,0.00,0.00,-0.00916,-0.01154,-0.03632,0.99923,1.00,-0.00994,-0.03855,-0.03837,0.99847,1.00
77512,0.00,0.00,-0.00916,-0.01154,-0.03630,0.99923,1.00,-0.00994,-0.03855,-0.03836,0.99847,1.00
77527,0.00,0.00,-0.01347,-0.01131,-0.03639,0.99918,1.00,-0.01423,-0.03833,-0.03857,0.99842,1.00
77540,0.00,0.00,-0.01347,-0.01131,-0.03651,0.99918,1.00,-0.01423,-0.03833,-0.03869,0.99841,1.00
77555,0.00,0.00,-0.01347,-0.01132,-0.03683,0.99917,1.00,-0.01422,-0.03834,-0.03903,0.99840,1.00
77568,0.00,0.00,-0.04990,-0.01962,-0.03859,0.99782,1.00,-0.05038,-0.04676,-0.04178,0.99676,1.00
77582,0.00,0.00,-0.04990,-0.01964,-0.03883,0.99781,1.00,-0.05037,-0.04677,-0.04203,0.99675,1.00
77596,0.00,0.00,-0.05455,-0.02292,-0.03968,0.99746,1.00,-0.05496,-0.05006,-0.04300,0.99631,1.00
77609,0.00,0.00,-0.05454,-0.02293,-0.03994,0.99745,1.00,-0.05495,-0.05007,-0.04326,0.99629,1.00
77624,0.00,0.00,-0.05429,-0.02272,-0.04014,0.99746,1.00,-0.05471,-0.04986,-0.04345,0.99631,1.00
77637,0.00,0.00,-0.05428,-0.02274,-0.04037,0.99745,1.00,-0.05470,-0.04988,-0.04367,0.99630,1.00
77652,0.00,0.00,-0.05428,-0.02273,-0.04032,0.99745,1.00,-0.05470,-0.04987,-0.04362,0.99630,1.00
77665,0.00,0.00,-0.05420,-0.02222,-0.04019,0.99747,1.00,-0.05465,-0.04936,-0.04349,0.99634,1.00
77679,0.00,0.00,-0.05420,-0.02221,-0.03987,0.99749,1.00,-0.05467,-0.04934,-0.04317,0.99635,1.00
77693,0.00,0.00,-0.05170,-0.02450,-0.03977,0.99757,1.00,-0.05218,-0.05161,-0.04301,0.99638,1.00
77707,0.00,0.00,-0.05171,-0.02449,-0.03954,0.99758,1.00,-0.05219,-0.05159,-0.04279,0.99639,1.00
77721,0.00,0.00,-0.05172,-0.02447,-0.03915,0.99759,1.00,-0.05221,-0.05157,-0.04242,0.99640,1.00
77735,0.00,0.00,-0.05122,-0.02571,-0.03890,0.99760,1.00,-0.05170,-0.05281,-0.04216,0.99637,1.00
77749,0.00,0.00,-0.05123,-0.02569,-0.03847,0.99762,1.00,-0.05172,-0.05279,-0.04175,0.99639,1.00
77763,0.00,0.00,-0.05066,-0.02763,-0.03832,0.99760,1.00,-0.05112,-0.05472,-0.04159,0.99632,1.00
77777,0.00,0.00,-0.05068,-0.02760,-0.03770,0.99762,1.00,-0.05115,-0.05469,-0.04098,0.99635,1.00
77791,0.00,0.00,-0.05017,-0.02871,-0.03746,0.99763,1.00,-0.05061,-0.05580,-0.04072,0.99633,1.00
77805,0.00,0.00,-0.05018,-0.02870,-0.03711,0.99764,1.00,-0.05063,-0.05578,-0.04037,0.99634,1.00
77819,0.00,0.00,-0.05019,-0.02869,-0.03691,0.99765,1.00,-0.05064,-0.05577,-0.04017,0.99635,1.00
77833,0.00,0.00,-0.05176,-0.03357,-0.03739,0.99739,1.00,-0.05211,-0.06064,-0.04067,0.99597,1.00
77846,0.00,0.00,-0.05177,-0.03356,-0.03720,0.99740,1.00,-0.05212,-0.06063,-0.04048,0.99598,1.00
