Time_ms,TargetRotY,LeftRotX,LeftRotY,LeftRotZ,LeftRotW,LeftConfidence,RightRotX,RightRotY,RightRotZ,RightRotW,RightConfidence
106370,0.00000,0.00324,-0.03056,-0.04050,0.99871,1.00,0.00289,-0.05740,-0.04559,0.99731,1.00
106383,0.51416,0.00324,-0.03056,-0.04053,0.99871,1.00,0.00289,-0.05740,-0.04560,0.99730,1.00
106396,1.06761,0.00304,-0.03066,-0.04058,0.99870,1.00,0.00270,-0.05750,-0.04565,0.99730,1.00
106410,1.61810,0.00305,-0.03066,-0.04062,0.99870,1.00,0.00271,-0.05750,-0.04569,0.99730,1.00
106424,2.17889,0.00305,-0.03066,-0.04063,0.99870,1.00,0.00271,-0.05750,-0.04570,0.99730,1.00
106438,2.73463,0.00399,-0.02977,-0.04043,0.99873,1.00,0.00363,-0.05661,-0.04547,0.99735,1.00
106452,3.29455,0.00398,-0.02977,-0.04039,0.99873,1.00,0.00362,-0.05661,-0.04543,0.99736,1.00
106466,3.83864,0.00458,-0.02908,-0.04018,0.99876,1.00,0.00421,-0.05593,-0.04520,0.99740,1.00
106480,4.38755,0.00458,-0.02909,-0.04000,0.99877,1.00,0.00420,-0.05593,-0.04500,0.99741,1.00
106494,4.93004,0.00434,-0.02978,-0.04025,0.99874,1.00,0.00397,-0.05662,-0.04526,0.99736,1.00
106508,5.46899,0.00434,-0.02978,-0.04032,0.99873,1.00,0.00397,-0.05662,-0.04532,0.99736,1.00
106523,6.02872,0.00434,-0.02978,-0.04031,0.99873,1.00,0.00397,-0.05662,-0.04531,0.99736,1.00
106536,6.54178,0.00470,-0.02899,-0.04010,0.99876,1.00,0.00432,-0.05584,-0.04509,0.99741,1.00
106550,7.05835,0.00469,-0.02900,-0.04004,0.99877,1.00,0.00431,-0.05584,-0.04502,0.99741,1.00
106564,7.57750,0.00439,-0.03086,-0.04034,0.99870,1.00,0.00402,-0.05770,-0.04531,0.99730,1.00
106578,8.08071,0.00439,-0.03086,-0.04027,0.99870,1.00,0.00402,-0.05770,-0.04523,0.99730,1.00
106592,8.59552,0.00413,-0.03222,-0.04050,0.99865,1.00,0.00378,-0.05905,-0.04544,0.99721,1.00
106606,9.09854,0.00414,-0.03222,-0.04052,0.99865,1.00,0.00378,-0.05905,-0.04545,0.99721,1.00
106620,9.59467,0.00414,-0.03222,-0.04059,0.99865,1.00,0.00378,-0.05905,-0.04550,0.99721,1.00
106634,10.07850,0.08632,-0.03523,-0.03785,0.99493,1.00,0.08533,-0.06193,-0.04051,0.99360,1.00
106648,10.55067,0.08632,-0.03521,-0.03799,0.99492,1.00,0.08534,-0.06192,-0.04064,0.99360,1.00
106662,11.02908,0.08947,0.08054,-0.02650,0.99237,1.00,0.08868,0.05385,-0.02926,0.99417,1.00
106675,11.47836,0.08943,0.08058,-0.02697,0.99236,1.00,0.08866,0.05389,-0.02972,0.99416,1.00
106690,11.95198,0.08940,0.08062,-0.02740,0.99235,1.00,0.08863,0.05393,-0.03014,0.99415,1.00
106703,12.37707,0.06943,0.08178,-0.02633,0.99388,1.00,0.06851,0.05512,-0.02960,0.99569,1.00
106717,12.80102,0.06939,0.08181,-0.02683,0.99387,1.00,0.06848,0.05515,-0.03010,0.99567,1.00
106731,13.22873,-0.03892,0.03098,-0.03088,0.99828,1.00,-0.03989,0.00365,-0.03718,0.99851,1.00
106745,13.63657,-0.03893,0.03097,-0.03129,0.99827,1.00,-0.03989,0.00364,-0.03758,0.99849,1.00
106759,14.04429,-0.04907,0.03243,-0.03104,0.99779,1.00,-0.05009,0.00502,-0.03762,0.99802,1.00
106773,14.42983,-0.04908,0.03242,-0.03134,0.99778,1.00,-0.05009,0.00500,-0.03789,0.99801,1.00
106787,14.81660,-0.04909,0.03241,-0.03155,0.99777,1.00,-0.05010,0.00499,-0.03809,0.99801,1.00
