Time_ms,LeftBlinkWeight,RightBlinkWeight,LeftConfidence,RightConfidence
298584,0.00000,0.00000,1.00,1.00
298598,0.00000,0.00000,1.00,1.00
298612,0.00000,0.00000,1.00,1.00
298626,0.00000,0.00000,1.00,1.00
298640,0.00000,0.00000,1.00,1.00
298654,0.00000,0.00000,1.00,1.00
298668,0.00000,0.00000,1.00,1.00
298682,0.00000,0.00000,1.00,1.00
298696,0.00000,0.00000,1.00,1.00
298710,0.00000,0.00000,1.00,1.00
298724,0.00000,0.00000,1.00,1.00
298738,0.00000,0.00000,1.00,1.00
298752,0.00000,0.00000,1.00,1.00
298765,0.00000,0.00000,1.00,1.00
298779,0.00000,0.00000,1.00,1.00
298793,0.00000,0.00000,1.00,1.00
298808,0.00000,0.00000,1.00,1.00
298821,0.00000,0.00000,1.00,1.00
298835,0.00000,0.00000,1.00,1.00
298849,0.00000,0.00000,1.00,1.00
298863,0.00000,0.00000,1.00,1.00
298877,0.00000,0.00000,1.00,1.00
298891,0.00000,0.00000,1.00,1.00
298905,0.00000,0.00000,1.00,1.00
298919,0.00000,0.00000,1.00,1.00
298932,0.00000,0.00000,1.00,1.00
298947,0.00000,0.00000,1.00,1.00
298960,0.00000,0.00000,1.00,1.00
298975,0.00000,0.00000,1.00,1.00
298988,0.00000,0.00000,1.00,1.00
299002,0.00000,0.00000,1.00,1.00
299016,0.00000,0.00000,1.00,1.00
299030,0.00000,0.00000,1.00,1.00
299044,0.00000,0.00000,1.00,1.00
299058,0.00000,0.00000,1.00,1.00
299072,0.00000,0.00000,1.00,1.00
299086,0.00000,0.00000,1.00,1.00
299100,0.00000,0.00000,1.00,1.00
299114,0.00000,0.00000,1.00,1.00
299127,0.00000,0.00000,1.00,1.00
299142,0.00000,0.00000,1.00,1.00
299155,0.00000,0.00000,1.00,1.00
299169,0.00000,0.00000,1.00,1.00
299184,0.00000,0.00000,1.00,1.00
299197,0.00000,0.00000,1.00,1.00
299211,0.00000,0.00000,1.00,1.00
299225,0.00000,0.00000,1.00,1.00
299240,0.00000,0.00000,1.00,1.00
299253,0.00000,0.00000,1.00,1.00
299267,0.00000,0.00000,1.00,1.00
299281,0.00000,0.00000,1.00,1.00
299295,0.00000,0.00000,1.00,1.00
299309,0.00000,0.00000,1.00,1.00
299323,0.00000,0.00000,1.00,1.00
299336,0.00000,0.00000,1.00,1.00
299351,0.00000,0.00000,1.00,1.00
299364,0.00000,0.00000,1.00,1.00
299378,0.00000,0.00000,1.00,1.00
299392,0.00000,0.00000,1.00,1.00
299406,0.00000,0.00000,1.00,1.00
299420,0.00000,0.00000,1.00,1.00
299434,0.00000,0.00000,1.00,1.00
299448,0.00000,0.00000,1.00,1.00
